id_text,nos_words
P334656,
P334282,
P334723,
P334210,
P334357,
P334209,
X900010,
P334222,
P334361,
P334361,
X900005,
X900007,
P334165,
P334789,
P313542,
P334347,19
P334351,19
P334350,19
P334348,19
P334349,19
P334296,19
P334559,10
P334558,10
P334555,10
P334151,
P334180,
P334181,
P334182,
P334182,
P313479,
P313478,
P334179,
P334177,
P334178,
P334178,
P334529,10
P334528,10
P334187,10
P313448,10
P334186,10
P334625,
P334258,
P334339,10
P337150,10
P334338,10
P334091,9
P334256,10
P334094,10
P334090,10
P334092,23
P334257,10
P313523,
P313439,
P337151,
P337151,
X900011,
P334197,
P334355,
P334839,
P334307,
P334284,
P334359,
P334072,5
P334072,5
P334070,5
P334069,5
P334071,5
P334073,5
P334157,
P334345,24
P313420,24
P334343,24
P334344,23
P334346,10
P334631,
P334512,
P334211,
P334127,
P334502,10
P334502,10
P334501,10
P334109,10
P334108,10
P334105,10
P334500,10
P334104,10
P334103,10
P334106,10
P237089,10
P334149,
P334888,
P334887,
P334663,
X900004,
P334616,
P334615,
P334077,16
P334074,16
P334076,24
P334075,10
P334726,
P334726,
P334119,
P334507,
P313911,
P334638,
P334139,10
P334140,10
P334137,10
P313540,10
P334518,10
P334138,10
P336178,10
P313630,
P334607,
P313788,
P334115,10
P313434,10
P334504,10
P334565,10
P334114,10
P334116,10
P334504,10
X900015,12
P334117,10
P334505,22
P334592,
P336166,
P334214,
P334568,
P334567,
P334632,
P334152,
P334081,16
P334079,16
P334078,23
P334080,15
P334496,16
P313435,17
P334111,
P334120,
P334483,
P334020,
P334189,
P334150,
P313926,
P313750,25
P334521,26
P334521,26
P334145,26
P334291,23
P334160,
P334622,
P334169,
P334168,
P334167,
P334689,
P334621,
P313510,19
P313472,19
P334498,19
P334084,19
P334583,
P334583,
P334562,16
P334563,10
P334367,10
P334561,10
P313504,16
P334279,10
P334564,10
P334099,
P334634,
P224485,
X900006,
P334190,
P334194,
P334195,
P334193,
P334539,11
P334204,10
P334540,13
P314044,9
P336169,10
P334208,10
P334538,10
P334536,10
P313515,10
P334201,26
P313421,10
P334205,10
P334199,10
P313640,10
P334198,10
P334263,10
P334264,13
P334200,10
P334534,25
P334203,13
P334202,13
P334143,
P334141,
P334142,
P334144,
P334519,
P334520,
P334360,
P334097,
P334629,
P334612,
P334613,
P334674,
P313447,10
P334049,10
P334050,10
P334053,10
P334054,10
P334118,10
P334125,10
P334298,10
P334335,10
P334336,10
P334918,10
P313437,10
P334051,10
P334055,10
P334333,10
P336597,10
P334048,22
P334041,28
P334272,28
P334036,16
P334037,16
P334038,16
P334039,16
P334040,16
P334042,16
P334043,16
P334044,16
P334045,16
P334047,16
P334271,16
P334273,16
P334328,16
P334330,16
P334331,16
P336167,16
P334332,11
P334903,
P334658,
P334588,
P334281,
P334060,
P334543,
P334280,
P334223,
P334102,
P334499,
P334100,
P334101,
P313419,20
P313551,
P313626,
P313874,9
P334046,10
P334083,10
P334113,10
P334124,10
P334135,10
P334136,10
