sargon_p::ancient_author,Letter_Opening,nos_words,Opening: Type,Opening: God(s),Opening: Concern(s),id_text,sargon_p::primary_publication,sargon_p::volume,SAA no.,sargon_p::senderloc,sargon_p::dossier,tablet_physical_features 1,tablet_physical_features 2,,Letter_Subj 1,Letter_Subj 2,Letter_Subj 3,Dating_elements,designation,sign_form,f,a,m,detailed_comments,f_a_m,mzl_json 2::generic_comments,sign_id,sign_context,sign_value,photo,sargon_p::ch_no,sargon_p::museum_no,,sign_position,sign_preservation,sign_ref_form_headword_sender::form,ref_form_headword::xis_form,ref_form_headword::xis_headword,ref_form_headword::headword,sign_ref_form_headword_sender::cf,sign_ref_form_headword_sender::ref,sign_ref_form_headword_sender::gw,sign_ref_form_headword_sender::pos,sign_ref_form_headword_sender::sense,sign_ref_form_headword_sender::epos,sign_ref_form_headword_sender::line_label,
[...]-remanni,a-na ⸢LUGAL⸣ [be-lí]-ia ARAD-⸢ka m⸣[daš-šur?]—rém-an-ni lu DI-mu a-na LUGAL be-lí-ia DI-mu a-na KUR ša LUGAL be-lí-ia lib-bi KUR a—dan-niš ṭa-a-ba,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),,Land of the King,P334656,ABL 0978,SAA 5,132,Kurbail,SAA05.07.05.a,,,,,,,,P334656.8.2.2 (BA; ṭa\d-a-ba\t),BA,t,,,,t,tilted wedge(s),P334656.8.2.2,ṭa\d-a-ba\t,ba,,Ch. 7,K 01028,,,,ṭa-a-ba,akk.r0288f,akk.r02885,ṭābu[good]AJ,ṭābu,P334656.8.2,good,AJ,good,AJ,o 7,
Abat-šarri-uṣur,a-na LUGAL EN-a ARAD-ka ma-bat—MAN—PAB lu DI-mu a-na LUGAL EN-a,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334282,ABL 0411,SAA 5,172,Mannea,SAA05.08.12.a,,,,,,,,P334282.22.3.0 (AL; al\t-lak),AL,t,,,,t,tilted wedge(s),P334282.22.3.0,al\t-lak,al,,Ch. 8,"Rm 2,0005",,,,al-lak,akk.r0013e,akk.r00123,alāku[go]V,alāku,P334282.22.3,go,V,go,V,r 6,
Ada,a-na LÚv.SUKKAL BE-ía ARAD-ka ma-da-a lu DI-mu a-na LÚv.SUKKAL BE-ía,,ana PN/LÚ-* bēlīya (urdaka) PN,,,P334723,ABL 1081,SAA 5,168,Shurda,SAA05.08.09.a,,,,,,,,P334723.2.2.0 (LU₂; {lu₂v}SUKKAL),LU₂,,v,,,v,tilted wedge(s),P334723.2.2.0,{lu₂v}SUKKAL,LU₂,,Ch. 8,Rm 0557,,,,{LU₂}SUKKAL,akk.r02665,akk.r02665,šukkallu[(a court official)]N,šukkallu,P334723.2.2,(a court official),N,vizier,N,o 1,
Adad-ibni,[a-na LUGAL] be-lí-ia [ARAD-ka m]dIM—ib-ni [lu DI-mu a]-⸢na⸣ LUGAL be-lí-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334210,ABL 0323,SAA 1,185,Til-Barsip,SAA01.09.02.a,,,,,,,,P334210.9.3.0 (LU₂; {lu₂vy}⸢GAL⸣—[x]-ni),LU₂,y,v,,,yv,"tilted wedge(s), other variation",P334210.9.3.0,{lu₂vy}⸢GAL⸣—[x]-ni,LU₂,,Ch. 9,K 06005,,,,{LU₂}GAL-x-ni,,,,,P334210.9.3,,,,,o 8,
Adad-ibni,a-na LUGAL be-lí-ia ARAD-ka mdIM—DÙ lu šul-mu a-na LUGAL be-lí-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334357,ABL 0522,SAA 5,241,Northeastern Assyria,SAA05.12.02.a,,,,,,,,P334357.17.3.0 (TA; TA@v\m),TA,m,,v,,mv,"tilted wedge(s), missing wedge(s)",P334357.17.3.0,TA@v\m,TA,,Ch. 12,K 00498,,,,TA@v,akk.r00e18,akk.r00e15,išti[with]PRP,ištu,P334357.17.3,from,PRP,from,PRP,r 1,
Adad-ibni,a-na LUGAL EN-ia ARAD-⸢ka⸣ m⸢d⸣IM—ib-ni [lu DI-mu] a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334209,ABL 0322,SAA 1,184,Til-Barsip,SAA01.09.02.a,,,,,,,,P334209.11.1.2 (DI; {1}EN—de\d-ni—a-mur),DI,d,,,,d,displaced wedge(s),P334209.11.1.2,{1}EN—de\d-ni—a-mur,de,,Ch. 9,K 00663,,,,{1}EN-de-ni-a-mur,qpn.r000fd,qpn.r000fd,Bel-deni-amur[1]PN,Bel-deni-amur,P334209.11.1,1,PN,1,PN,o 10,
Adad-issiya,[a-na] ⸢LUGAL⸣ EN-ia [ARAD-ka] mdIM—KI-ia [lu] ⸢DI⸣-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,X900010,NL 089; ND 2631; SAA 19 189,SAA 5,215,Mazamua,SAA05.10.04.a,,,,,,,,X900010.8.5.0 (ANŠE; {anšed}KUR.RA-MEŠ\m),ANŠE,d,,,,d,displaced wedge(s),X900010.8.5.0,{anšed}KUR.RA-MEŠ\m,ANŠE,,Ch. 10,IM 64083,,,,{ANŠE}KUR.RA-MEŠ,akk.r01dea,akk.r01de0,sisû[horse]N,sisû,X900010.8.5,horse,N,horse,N,o 7,
Adad-issiya,a-na LUGAL EN-ia ARAD-ka mdIM—KI-ia lu DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334222,ABL 0342,SAA 5,217,Mazamua,SAA05.10.04.a,,,,,,,,P334222.3.1.0 (ARAD; ARAD\p-ka),ARAD,p,,,,p,additional wedge(s),P334222.3.1.0,ARAD\p-ka,ARAD,,Ch. 10,"79-7-8,234",,,,ARAD-ka,akk.r0039c,akk.r00392,ardu[slave]N,ardu,P334222.3.1,slave,N,servant,N,o 2,
Adad-issiya,a-na LUGAL EN-ia ARAD-ka mdIM—KI-ia lu-u DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334361,ABL 0529,SAA 5,224,Mazamua,SAA05.10.04.a,,,,,,,,P334361.3.1.0 (ARAD; ARAD\p-ka),ARAD,p,,,,p,additional wedge(s),P334361.3.1.0,ARAD\p-ka,ARAD,,Ch. 10,K 01252A,,,,ARAD-ka,akk.r0039c,akk.r00392,ardu[slave]N,ardu,P334361.3.1,slave,N,servant,N,o 2,
Adad-issiya,a-na LUGAL EN-ia ARAD-ka mdIM—KI-ia lu-u DI-mu a-na LUGAL EN-ia ,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334361,ABL 0529,SAA 5,224,Mazamua,SAA05.10.04.a,,,,buying horses in Arzuhina,,,,P334361.28.2.0 (ANŠE; {anšed}NUN\m.NA),ANŠE,d,,,,d,displaced wedge(s),P334361.28.2.0,{anšed}NUN\m.NA,ANŠE,,Ch. 10,K 01252A,,,,{ANŠE}NUN.NA,akk.r00729,akk.r00729,damdāmu[(a kind of mule)]N,damdāmu,P334361.28.2,(a kind of mule),N,mule,N,r 11,
