,a,b,break,f,file,form,frag,line_label,m,sign_loc_id,text_id,sign_form,mods_str,str_part,num_part
594,,TA,damaged,,P224485.json,TA@v,⸢TA@v⸣,o 37,v,P224485.38.1.0,P224485,TA,..v,TA,1
673,,mus,damaged,t,P224485.json,{KUR}mus-ka-a.a,{kur}⸢mus\t⸣-ka-a.a,r 42,,P224485.44.5.1,P224485,MUŠ,.t.,mus,1
730,,TA,damaged,,P224485.json,TA@v,⸢TA@v,r 46,v,P224485.48.1.0,P224485,TA,..v,TA,1
745,,mus,damaged,t,P224485.json,{KUR}mus-ka-a.a,{kur}⸢mus\t⸣-[ka-a].⸢a,r 47,,P224485.49.1.1,P224485,MUŠ,.t.,mus,1
1161,v,LU₂,damaged,,P237089.json,{LU₂}i-tu₂-a.a,{⸢lu₂v⸣}i-[tu₂-a.a],o 5,,P237089.6.4.0,P237089,LU₂,v..,LU,2
1217,v,LU₂,damaged,,P238649.json,{LU₂}GAL-50,{lu₂v}GAL—50,o 1',,P238649.3.4.0,P238649,LU₂,v..,LU,2
1243,v,LU₂,damaged,,P238649.json,{LU₂}GAL-ki-ṣir,{⸢lu₂v⸣}GAL—ki-ṣir,o 3',,P238649.5.3.0,P238649,LU₂,v..,LU,2
1528,,ša,damaged,m,P313417.json,ša,⸢ša\m⸣,o 4,,P313417.5.1.0,P313417,ŠA,.m.,ša,1
1531,,iš,damaged,d,P313417.json,iš-pur-an-ni,⸢iš\d⸣-[pur-an-ni],o 4,,P313417.5.4.0,P313417,IŠ,.d.,iš,1
1648,,ŠA₃,damaged,p,P313417.json,A.ŠA₃,A.⸢ŠA₃\p,o 14,,P313417.15.1.1,P313417,ŠA₃,.p.,ŠA,3
1649,,na,damaged,t,P313417.json,na-gi-e,na\t⸣-gi\p-e\d,o 14,,P313417.15.2.0,P313417,NA,.t.,na,1
1659,,ta,damaged,d,P313417.json,a-ta-at-ha,a-⸢ta\d-at⸣-ha,o 15,,P313417.16.1.1,P313417,TA,.d.,ta,1
1700,,LUGAL,damaged,d,P313417.json,LUGAL,⸢LUGAL\d⸣,o 18,,P313417.19.4.0,P313417,LUGAL,.d.,LUGAL,1
1702,,iš,missing,d,P313417.json,iš-pur-an-ni,iš\d-pur-an-ni],o 18,,P313417.19.6.0,P313417,IŠ,.d.,iš,1
1721,,na,damaged,t,P313417.json,a-na,a-⸢na\t⸣,o 20,,P313417.21.1.1,P313417,NA,.t.,na,1
1787,,rig,damaged,t,P313417.json,a-nu-rig,a-⸢nu-rig\t,o 25,,P313417.26.1.2,P313417,ŠIM,.t.,rig,1
1856,,ANŠE,damaged,p,P313417.json,ANŠE,⸢ANŠE\p⸣,r 4,,P313417.34.2.0,P313417,ANŠE,.p.,ANŠE,1
1899,,na,damaged,t,P313417.json,{URU}gu-za-na,{uru}⸢gu⸣-[za]-⸢na\t,r 7,,P313417.37.2.3,P313417,NA,.t.,na,1
1977,,na,damaged,t,P313417.json,a-na,⸢a-na\t⸣,r 14,,P313417.44.1.1,P313417,NA,.t.,na,1
1989,,na,damaged,t,P313417.json,a-na,⸢a-na\t⸣,r 15,,P313417.45.1.1,P313417,NA,.t.,na,1
2021,,TA,damaged,m,P313417.json,TA@v,⸢TA@v\m⸣,r 18,v,P313417.48.1.0,P313417,TA,.m.v,TA,1
2308,,LUGAL,damaged,t,P313420.json,LUGAL,⸢LUGAL\t⸣,o 1,,P313420.2.2.0,P313420,LUGAL,.t.,LUGAL,1
2335,,ti,damaged,t,P313420.json,ma-a-ti,ma-a-⸢ti\t⸣,o 4,,P313420.5.3.2,P313420,TI,.t.,ti,1
2349,,LUGAL,missing,t,P313420.json,LUGAL,LUGAL\t],o 7,,P313420.8.2.0,P313420,LUGAL,.t.,LUGAL,1
2368,,ti,damaged,t,P313420.json,rak-ku-bu-ti,⸢rak-ku-bu-ti\t⸣,o 9,,P313420.10.1.3,P313420,TI,.t.,ti,1
2541,,NUN,damaged,m,P313420.json,EN.NUN-ia,⸢EN.NUN\m-ia⸣,r 15',,P313420.33.3.1,P313420,NUN,.m.,NUN,1
2574,,ša,damaged,t,P313421.json,ša,⸢ša\t⸣,o 4,,P313421.5.4.0,P313421,ŠA,.t.,ša,1
2608,,u₂,damaged,m,P313421.json,u₂-ta-ṣi-ṣi,⸢u₂\m-ta⸣-ṣi-ṣi,o 9,,P313421.10.1.0,P313421,U₂,.m.,u,2
2656,,LUGAL,damaged,d,P313422.json,LUGAL,⸢LUGAL\d⸣,o 1,,P313422.2.2.0,P313422,LUGAL,.d.,LUGAL,1
2668,,u₂,damaged,m,P313422.json,{KUR}u₂-ra-ar-ṭa-a.a,{kur}⸢u₂\m-ra-ar-ṭa⸣-a.[a],o 3,,P313422.4.1.1,P313422,U₂,.m.,u,2
2709,,ba,damaged,t,P313422.json,{1}a-ba-li-u₂-qu-nu,{1}a-ba\t-li-u₂\m⸣-qu-nu,o 8,,P313422.9.2.2,P313422,BA,.t.,ba,1
2711,,u₂,damaged,m,P313422.json,{1}a-ba-li-u₂-qu-nu,{1}a-ba\t-li-u₂\m⸣-qu-nu,o 8,,P313422.9.2.4,P313422,U₂,.m.,u,2
2808,v,LU₂,missing,y,P313425.json,{LU₂}ar-ba-a.a,{[lu₂vy}ar]-ba-a.a,o 5,,P313425.6.1.0,P313425,LU₂,v.y.,LU,2
2861,,TA,missing,,P313425.json,TA@v,[TA@v,o 10,v,P313425.11.1.0,P313425,TA,..v,TA,1
2944,v,LU₂,damaged,y,P313425.json,{LU₂}ARAD,{⸢lu₂vy}ARAD⸣,o 16,,P313425.17.5.0,P313425,LU₂,v.y.,LU,2
3086,v,LU₂,damaged,y,P313425.json,{LU₂}ar-ba-a.a,{lu₂vy}ar⸣-ba-a.a,b.e. 29,,P313425.31.2.0,P313425,LU₂,v.y.,LU,2
3101,v,LU₂,damaged,y,P313425.json,{LU₂}hu-ub-ti-ma,{lu₂vy⸣}hu-ub-⸢ti⸣-[ma],r 1,,P313425.33.4.0,P313425,LU₂,v.y.,LU,2
3109,,na,damaged,t,P313425.json,a-na,⸢a-na\t⸣,r 2,,P313425.34.2.1,P313425,NA,.t.,na,1
3116,,da,damaged,d,P313425.json,a-da-an,a-⸢da\d-an⸣,r 2,,P313425.34.4.1,P313425,DA,.d.,da,1
3170,v,LU₂,damaged,y,P313425.json,{LU₂}ma-ki-su,{⸢lu₂vy⸣}ma-ki-su,r 7,,P313425.39.2.0,P313425,LU₂,v.y.,LU,2
3178,,ša,damaged,ydm,P313425.json,ša,ša\ydm,r 7,,P313425.39.5.0,P313425,ŠA,.ydm.,ša,1
3242,,ša,damaged,m,P313425.json,ša,⸢ša\m⸣,r 12,,P313425.44.6.0,P313425,ŠA,.m.,ša,1
3310,,su,damaged,t,P313425.json,i-su-hur,⸢i-su\t⸣-hur,r 17,,P313425.49.5.1,P313425,SU,.t.,su,1
3325,,TA,damaged,m,P313425.json,TA@v,⸢TA@v\m⸣,r 19,v,P313425.51.1.0,P313425,TA,.m.v,TA,1
3362,v,LU₂,missing,y,P313425.json,{LU₂}NAGAR-mu-gir,{[lu₂vy}NAGAR]—mu-gir,r 22,,P313425.54.1.0,P313425,LU₂,v.y.,LU,2
3372,v,LU₂,missing,y,P313425.json,{LU₂}ARAD-MEŠ-ni,{[lu₂vy}ARAD]-⸢MEŠ\m⸣-ni,r 23,,P313425.55.1.0,P313425,LU₂,v.y.,LU,2
3374,,MEŠ,damaged,m,P313425.json,{LU₂}ARAD-MEŠ-ni,{[lu₂vy}ARAD]-⸢MEŠ\m⸣-ni,r 23,,P313425.55.1.2,P313425,|ME.U.U.U|,.m.,MEŠ,1
3678,,TA,missing,m,P313427.json,TA@v,TA@v\m],r 19,v,P313427.38.3.0,P313427,TA,.m.v,TA,1
3692,,ša,missing,dm,P313427.json,ša,ša\dm],r.e. 21,,P313427.41.2.0,P313427,ŠA,.dm.,ša,1
3880,v,LU₂,damaged,,P313434.json,{LU₂}ERIM-MEŠ,{⸢lu₂v⸣}[ERIM-MEŠ],r 6,,P313434.26.2.0,P313434,LU₂,v..,LU,2
4126,,ša,damaged,d,P313437.json,ša,⸢ša\d⸣,o 11,,P313437.12.2.0,P313437,ŠA,.d.,ša,1
4449,,DUB,damaged,m,P313439.json,{LU₂}IGI.DUB,{lu₂}⸢IGI.DUB\m⸣,r 11,,P313439.33.3.2,P313439,DUB,.m.,DUB,1
4543,,ti,damaged,t,P313442.json,i-ti-din,i-⸢ti\t⸣-[din,o 4',,P313442.6.1.1,P313442,TI,.t.,ti,1
4681,,ša,damaged,yd,P313442.json,ša,⸢ša\yd⸣,r 5,,P313442.20.1.0,P313442,ŠA,.yd.,ša,1
4707,,ti,damaged,t,P313442.json,an-nu-ti,[an]-⸢nu-ti\t⸣,r 7,,P313442.22.2.2,P313442,TI,.t.,ti,1
4756,,u₂,damaged,m,P313442.json,u₂-x,⸢u₂\m⸣-[x,e. 2,,P313442.29.2.0,P313442,U₂,.m.,u,2
4795,v,LU₂,missing,,P313444.json,{LU₂}ru-ʾu-u₂-a,{lu₂v]}⸢ru\d-ʾu⸣-u₂\m-a,o 2',,P313444.4.8.0,P313444,LU₂,v..,LU,2
4796,,ru,damaged,d,P313444.json,{LU₂}ru-ʾu-u₂-a,{lu₂v]}⸢ru\d-ʾu⸣-u₂\m-a,o 2',,P313444.4.8.1,P313444,RU,.d.,ru,1
4825,,u₂,damaged,m,P313444.json,{1}kal-bi-u₂-ku-u-a,{1}kal-bi]—⸢u₂\m⸣-ku-u-a,o 4',,P313444.6.5.3,P313444,U₂,.m.,u,2
5855,,šum₂,damaged,m,P313450.json,šum₂-ma,⸢šum₂\m⸣-ma,o 20,,P313450.21.1.0,P313450,SUM,.m.,šum,2
5862,,na,damaged,t,P313450.json,na-ta-na-a.a,⸢na\t⸣-ta-na\t-a.a,b.e. 21,,P313450.23.1.0,P313450,NA,.t.,na,1
5881,,ša,damaged,yd,P313450.json,ša,⸢ša\yd⸣,b.e. 23,,P313450.25.2.0,P313450,ŠA,.yd.,ša,1
5927,,na,damaged,t,P313450.json,a-na,a-⸢na\t,r 6,,P313450.32.1.1,P313450,NA,.t.,na,1
5946,,te,damaged,t,P313450.json,a-nu-te,a-nu-⸢te\t⸣,r 8,,P313450.34.2.2,P313450,TE,.t.,te,1
5965,,ša,damaged,ydm,P313450.json,ša,⸢ša\ydm⸣,r 10,,P313450.36.3.0,P313450,ŠA,.ydm.,ša,1
6130,v,LU₂,damaged,,P313451.json,{LU₂}x,{⸢lu₂v⸣}[x,o 12,,P313451.13.2.0,P313451,LU₂,v..,LU,2
6276,,ša,damaged,yd,P313452.json,ša,⸢ša\yd⸣,o 3,,P313452.4.2.0,P313452,ŠA,.yd.,ša,1
6278,v,LU₂,missing,,P313452.json,{LU₂}IGI.DUB,{lu₂v}IGI.DUB\m],o 3,,P313452.4.4.0,P313452,LU₂,v..,LU,2
6280,,DUB,missing,m,P313452.json,{LU₂}IGI.DUB,{lu₂v}IGI.DUB\m],o 3,,P313452.4.4.2,P313452,DUB,.m.,DUB,1
6402,,MEŠ,damaged,t,P313452.json,UN-MEŠ,UN-⸢MEŠ\t⸣,o 11,,P313452.12.3.1,P313452,|ME.U.U.U|,.t.,MEŠ,1
6528,,ba,missing,t,P313452.json,a-tab-ba-ak,[a-tab-ba\t-ak],o 20,,P313452.21.4.2,P313452,BA,.t.,ba,1
6783,,DUB,missing,m,P313452.json,{LU₂}IGI.DUB,{lu₂v}[IGI.DUB\m,r 8,,P313452.43.4.2,P313452,DUB,.m.,DUB,1
