sign_form,combined,a
5(DIŠ),5(DIŠ):..,103
?,?:..,13
A,A:..,506
AK,AK:..,12
AK,AK:.d.,1
AK,AK:.td.,1
ALEPH,ALEPH:..,5
AMAR,AMAR:..,3
AN,AN:..,105
ARAD,ARAD:..,162
ARAD,ARAD:.p.,3
AŠ,AŠ:..,83
AŠ₂,AŠ₂:..,1
BA,BA:..,10
BAD,BAD:..,136
BARA₂,BARA₂:..,1
BI,BI:..,16
BU,BU:..,28
BU,BU:.t.,4
BU,BU:.tdp.,1
BU,BU:.tp.,1
DA,DA:..,2
DA,DA:.d.,3
DI,DI:..,184
DI,DI:.d.,21
DIN,DIN:..,1
DIŠ,DIŠ:..,170
DU,DU:..,17
DU,DU:.d.,5
DUB,DUB:.dm.,1
DUN,DUN:..,16
E,E:..,12
EN,EN:..,272
E₂,E₂:..,32
E₂,E₂:.d.,1
GA,GA:..,31
GABA,GABA:..,6
GAL,GAL:..,7
GAR,GAR:..,5
GIŠ,GIŠ:..,2
GUR,GUR:..,1
HA,HA:..,2
HAL,HAL:..,11
HI,HI:..,45
HU,HU:..,3
I,I:..,10
IB,IB:..,2
IGI,IGI:..,29
IM,IM:..,19
IN,IN:..,4
KA,KA:..,166
KA,KA:.d.,1
KAL,KAL:..,16
KI,KI:..,16
KID,KID:..,19
KUR,KUR:..,37
LAL,LAL:..,16
LI,LI:..,1
LU,LU:..,167
LU,LU:.m.,1
LUGAL,LUGAL:..,341
LUGAL,LUGAL:.d.,15
LUGAL,LUGAL:.m.,4
LUGAL,LUGAL:.p.,12
LUGAL,LUGAL:.t.,11
LUGAL,LUGAL:.tm.,1
LUGAL,LUGAL:.y.,3
LUH,LUH:..,6
LUH,LUH:.p.,1
LU₂,LU₂:..,2
LU₂,LU₂:v..,10
LU₂,LU₂:v.y.,3
MA,MA:..,6
MAR,MAR:..,2
MI,MI:..,2
MIN,MIN:..,1
MU,MU:..,203
MU,MU:.d.,1
MU,MU:.p.,14
MU,MU:.pp.,1
MU,MU:.t.,1
MUŠ,MUŠ:..,2
NA,NA:..,328
NA,NA:.d.,2
NA,NA:.t.,87
NA,NA:.td.,4
NA,NA:.y.,1
NI,NI:..,168
NI,NI:.d.,7
NI,NI:.t.,2
NU,NU:..,7
NUN,NUN:..,3
NUN,NUN:.m.,17
O,O:..,8
PA,PA:..,26
PAP,PAP:..,7
PI,PI:..,1
RA,RA:..,22
RA,RA:.t.,2
RA,RA:.tdp.,1
RI,RI:..,21
RI,RI:.d.,1
RU,RU:..,18
RU,RU:.dp.,3
SAL,SAL:..,2
SU,SU:..,1
SUD₂,SUD₂:..,8
SUR,SUR:..,80
TA,TA:..,1
TE,TE:..,11
TI,TI:..,3
TI,TI:.t.,2
U,U:..,62
UB,UB:..,1
UD,UD:..,13
UN,UN:..,1
UR,UR:..,26
URU,URU:..,36
URU,URU:.d.,2
U₂,U₂:..,4
U₂,U₂:.m.,4
X,X:..,5
ZA,ZA:..,2
ZE₂,ZE₂:..,1
ZI,ZI:..,2
ZUM,ZUM:..,20
|AB×HA|,|AB×HA|:..,2
|EZEN×BAD|,|EZEN×BAD|:..,4
|EZEN×BAD|,|EZEN×BAD|:.p.,4
|HI×AŠ₂|,|HI×AŠ₂|:..,6
|HI×ŠE|,|HI×ŠE|:..,2
|I.A|,|I.A|:..,263
|IGI.DIB|,|IGI.DIB|:..,3
|LAGAB.LAGAB|,|LAGAB.LAGAB|:..,4
|ME.U.U.U|,|ME.U.U.U|:..,16
|ME.U.U.U|,|ME.U.U.U|:.m.,1
|ME.U.U.U|,|ME.U.U.U|:.t.,2
|PA.LU|,|PA.LU|:..,1
|SAL.TUG₂|,|SAL.TUG₂|:..,24
|U.TUG₂|,|U.TUG₂|:..,1
|U.U.U|,|U.U.U|:..,6
|U.U|,|U.U|:..,28
|URU×MIN|,|URU×MIN|:..,2
|ŠE.HU|,|ŠE.HU|:..,1
|ŠE.NUN&NUN|,|ŠE.NUN&NUN|:..,1
ŠA,ŠA:..,17
ŠA,ŠA:.d.,2
ŠA,ŠA:.dm.,10
ŠA,ŠA:.dt.,1
ŠA,ŠA:.dtm.,1
ŠA,ŠA:.dy.,1
ŠA,ŠA:.m.,3
ŠA,ŠA:.p.,2
ŠA,ŠA:.tp.,1
ŠA,ŠA:.y.,2
ŠA,ŠA:.ydm.,2
ŠAR₂,ŠAR₂:..,25
ŠA₃,ŠA₃:..,11
ŠA₃,ŠA₃:.p.,1
ŠEŠ,ŠEŠ:..,1
ŠID,ŠID:..,1
ŠIR,ŠIR:..,6
ŠU₂,ŠU₂:..,5
