,sign_form,combined,all_locs,count,is_dup
3,AK,AK:..,"P334078.3.2.2 (o 2),P334078.5.1.1 (o 4),P334079.3.2.2 (o 2),P334081.3.2.2 (o 2),P334114.3.2.2 (o 2),P334115.3.2.2 (o 2),P334116.3.2.2 (o 2),P334496.3.2.2 (o 2),P334504.3.2.2 (o 2),P334565.3.2.2 (o 2),P334587.7.1.1 (o 5),P334665.6.1.1 (o 5)",12,True
4,AK,AK:.d.,P313435.3.2.2 (o 2),1,True
5,AK,AK:.td.,P334665.3.2.5 (o 2),1,True
9,ARAD,ARAD:..,"P237089.3.1.0 (o 2),P313419.3.1.0 (o 2),P313420.3.1.0 (o 2),P313434.3.1.0 (o 2),P313435.3.1.0 (o 2),P313437.3.1.0 (o 2),P313447.3.1.0 (o 2),P313448.3.1.0 (o 2),P313472.3.1.0 (o 2),P313510.3.1.0 (o 2),P313515.3.1.0 (o 2),P313540.3.1.0 (o 2),P313750.3.1.0 (o 2),P313874.3.1.0 (o 2),P314044.3.1.0 (o 2),P334036.3.1.0 (o 2),P334037.3.1.0 (o 2),P334038.3.1.0 (o 2),P334039.3.1.0 (o 2),P334040.3.1.0 (o 2),P334041.3.1.0 (o 2),P334042.3.1.0 (o 2),P334043.3.1.0 (o 2),P334044.3.1.0 (o 2),P334045.3.1.0 (o 2),P334046.3.1.0 (o 2),P334047.3.1.0 (o 2),P334048.2.4.0 (o 1),P334049.3.1.0 (o 2),P334050.3.1.0 (o 2),P334051.3.1.0 (o 2),P334053.3.1.0 (o 2),P334054.3.1.0 (o 2),P334055.3.1.0 (o 2),P334069.3.1.0 (o 2),P334070.3.1.0 (o 2),P334071.3.1.0 (o 2),P334072.3.1.0 (o 2),P334073.3.1.0 (o 2),P334074.3.1.0 (o 2),P334075.3.1.0 (o 2),P334076.3.1.0 (o 2),P334077.2.4.0 (o 1),P334078.3.1.0 (o 2),P334079.3.1.0 (o 2),P334080.3.1.0 (o 2),P334081.3.1.0 (o 2),P334083.3.1.0 (o 2),P334084.3.1.0 (o 2),P334090.2.4.0 (o 1),P334091.3.1.0 (o 2),P334092.2.4.0 (o 1),P334094.2.4.0 (o 1),P334103.3.1.0 (o 2),P334104.3.1.0 (o 2),P334105.3.1.0 (o 2),P334106.3.1.0 (o 2),P334108.3.1.0 (o 2),P334109.3.1.0 (o 2),P334113.3.1.0 (o 2),P334114.3.1.0 (o 2),P334115.3.1.0 (o 2),P334116.3.1.0 (o 2),P334117.3.1.0 (o 2),P334118.3.1.0 (o 2),P334124.3.1.0 (o 2),P334125.3.1.0 (o 2),P334135.3.1.0 (o 2),P334136.3.1.0 (o 2),P334137.3.1.0 (o 2),P334138.3.1.0 (o 2),P334139.3.1.0 (o 2),P334140.3.1.0 (o 2),P334145.3.1.0 (o 2),P334158.6.1.0 (o 5),P334170.3.1.0 (o 2),P334171.3.1.0 (o 2),P334172.3.1.0 (o 2),P334174.3.1.0 (o 2),P334175.3.1.0 (o 2),P334176.3.1.0 (o 2),P334186.3.1.0 (o 2),P334187.3.1.0 (o 2),P334198.3.1.0 (o 2),P334199.3.1.0 (o 2),P334200.3.1.0 (o 2),P334201.3.1.0 (o 2),P334202.3.1.0 (o 2),P334203.3.1.0 (o 2),P334204.3.1.0 (o 2),P334205.3.1.0 (o 2),P334208.3.1.0 (o 2),P334212.3.1.0 (o 2),P334256.3.1.0 (o 2),P334257.3.1.0 (o 2),P334259.4.1.0 (o 2),P334263.3.1.0 (o 2),P334264.3.1.0 (o 2),P334271.3.1.0 (o 2),P334272.3.1.0 (o 2),P334273.3.1.0 (o 2),P334279.3.1.0 (o 2),P334288.3.1.0 (o 2),P334291.2.4.0 (o 1),P334296.3.1.0 (o 2),P334298.3.1.0 (o 2),P334328.3.1.0 (o 2),P334329.3.1.0 (o 2),P334330.3.1.0 (o 2),P334331.3.1.0 (o 2),P334332.3.1.0 (o 2),P334333.3.1.0 (o 2),P334335.3.1.0 (o 2),P334336.3.1.0 (o 2),P334338.3.1.0 (o 2),P334339.3.1.0 (o 2),P334343.3.1.0 (o 2),P334344.3.1.0 (o 2),P334345.3.1.0 (o 2),P334346.3.1.0 (o 2),P334347.3.1.0 (o 2),P334348.3.1.0 (o 2),P334349.3.1.0 (o 2),P334350.3.1.0 (o 2),P334351.3.1.0 (o 2),P334367.3.1.0 (o 2),P334496.3.1.0 (o 2),P334498.3.1.0 (o 2),P334500.3.1.0 (o 2),P334501.3.1.0 (o 2),P334502.2.4.0 (o 1),P334504.3.1.0 (o 2),P334505.3.1.0 (o 2),P334518.3.1.0 (o 2),P334521.3.1.0 (o 2),P334528.3.1.0 (o 2),P334529.3.1.0 (o 2),P334534.3.1.0 (o 2),P334534.7.3.1 (o 6),P334536.3.1.0 (o 2),P334538.3.1.0 (o 2),P334539.2.4.0 (o 1),P334540.3.1.0 (o 2),P334554.3.1.0 (o 2),P334555.3.1.0 (o 2),P334558.3.1.0 (o 2),P334559.3.1.0 (o 2),P334561.3.1.0 (o 2),P334562.3.1.0 (o 2),P334563.3.1.0 (o 2),P334564.3.1.0 (o 2),P334565.3.1.0 (o 2),P334587.4.1.0 (o 2),P334665.3.1.0 (o 2),P334918.3.1.0 (o 2),P336167.3.1.0 (o 2),P336168.3.1.0 (o 2),P336169.3.1.0 (o 2),P336178.3.1.0 (o 2),P336597.3.1.0 (o 2),P337150.3.1.0 (o 2),X900015.3.1.0 (o 2)",162,True
10,ARAD,ARAD:.p.,"P313421.3.1.0 (o 2),P313504.3.1.0 (o 2),P313640.3.1.0 (o 2)",3,True
17,BU,BU:..,"P313435.6.4.2 (o 5),P313472.3.2.6 (o 2),P313510.3.2.5 (o 2),P313750.7.1.1 (o 6),P334038.6.1.2 (o 5),P334039.6.2.2 (o 5),P334040.5.6.2 (o 4),P334043.6.2.2 (o 5),P334044.5.6.2 (o 4),P334045.6.4.2 (o 5),P334069.3.2.2 (o 2),P334070.3.2.2 (o 2),P334071.3.2.2 (o 2),P334072.3.2.2 (o 2),P334073.3.2.2 (o 2),P334078.6.4.2 (o 5),P334081.7.1.2 (o 6),P334084.3.2.5 (o 2),P334158.5.4.2 (o 4),P334273.6.1.2 (o 5),P334328.6.2.2 (o 5),P334329.6.2.2 (o 5),P334330.6.1.2 (o 5),P334344.6.4.1 (o 5),P334496.6.4.2 (o 5),P334498.3.2.5 (o 2),P334587.7.6.2 (o 5),P336167.6.1.2 (o 5)",28,True
18,BU,BU:.t.,"P313420.7.4.1 (o 6),P334271.6.2.2 (o 5),P334331.6.1.2 (o 5),P334343.7.1.1 (o 6)",4,True
19,BU,BU:.tdp.,P334665.8.1.2 (o 7),1,True
20,BU,BU:.tp.,P334037.6.1.2 (o 5),1,True
21,DA,DA:..,"P313420.3.2.3 (o 2),P334343.3.2.3 (o 2)",2,True
