,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
0,dossier,ortho_sign,"['ia', 'ia₂']",2,161,0.13459516298633017,0.11251314405888538,0.022082018927444796,1.1962616822429908
1,dossier,ortho_sign,"['li', 'li₂']",2,161,0.12513144058885384,0.11987381703470032,0.005257623554153518,1.043859649122807
2,dossier,ortho_sign,"['ia', 'ia₂', 'li', 'li₂']",4,161,0.22187171398527866,0.20189274447949526,0.0199789695057834,1.0989583333333335
3,dossier,ortho_sign,"['ša', 'ša₂']",2,161,0.1377497371188223,0.13249211356466878,0.005257623554153518,1.0396825396825395
4,dossier,ortho_sign,"['ia', 'ia₂', 'ša', 'ša₂']",4,161,0.22502628811777076,0.20399579390115669,0.02103049421661407,1.1030927835051545
5,dossier,ortho_sign,"['li', 'li₂', 'ša', 'ša₂']",4,161,0.23554153522607782,0.22397476340694006,0.011566771819137761,1.051643192488263
6,dossier,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'ša', 'ša₂']",6,161,0.2555205047318612,0.22502628811777076,0.030494216614090464,1.1355140186915889
7,dossier,ortho_sign,"['šu', 'šu₂']",2,161,0.14300736067297581,0.13564668769716087,0.007360672975814941,1.054263565891473
8,dossier,ortho_sign,"['ia', 'ia₂', 'šu', 'šu₂']",4,161,0.24500525762355416,0.21345951629863302,0.031545741324921134,1.1477832512315271
9,dossier,ortho_sign,"['li', 'li₂', 'šu', 'šu₂']",4,161,0.24921135646687698,0.2323869610935857,0.01682439537329128,1.0723981900452488
10,dossier,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'šu', 'šu₂']",6,161,0.2502628811777077,0.2302839116719243,0.019978969505783373,1.0867579908675797
11,dossier,ortho_sign,"['ša', 'ša₂', 'šu', 'šu₂']",4,161,0.2513144058885384,0.24290220820189273,0.00841219768664564,1.0346320346320346
12,dossier,ortho_sign,"['ia', 'ia₂', 'ša', 'ša₂', 'šu', 'šu₂']",6,161,0.2502628811777077,0.22187171398527866,0.028391167192429012,1.1279620853080567
13,dossier,ortho_sign,"['li', 'li₂', 'ša', 'ša₂', 'šu', 'šu₂']",6,161,0.2386961093585699,0.22187171398527866,0.01682439537329125,1.0758293838862558
14,dossier,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'ša', 'ša₂', 'šu', 'šu₂']",8,161,0.24395373291272346,0.22712933753943218,0.01682439537329128,1.0740740740740742
15,dossier,ortho_sign,"['u', 'u₂']",2,161,0.14826498422712933,0.138801261829653,0.009463722397476337,1.0681818181818181
16,dossier,ortho_sign,"['ia', 'ia₂', 'u', 'u₂']",4,161,0.2565720294426919,0.22818086225026288,0.02839116719242904,1.1244239631336406
17,dossier,ortho_sign,"['li', 'li₂', 'u', 'u₂']",4,161,0.24605678233438485,0.22712933753943218,0.018927444794952675,1.0833333333333333
18,dossier,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']",6,161,0.2502628811777077,0.2113564668769716,0.038906414300736075,1.1840796019900497
19,dossier,ortho_sign,"['ša', 'ša₂', 'u', 'u₂']",4,161,0.24710830704521555,0.22818086225026288,0.018927444794952675,1.0829493087557602
20,dossier,ortho_sign,"['ia', 'ia₂', 'ša', 'ša₂', 'u', 'u₂']",6,161,0.24710830704521555,0.22818086225026288,0.018927444794952675,1.0829493087557602
21,dossier,ortho_sign,"['li', 'li₂', 'ša', 'ša₂', 'u', 'u₂']",6,161,0.23974763406940064,0.22292323869610936,0.01682439537329128,1.0754716981132075
22,dossier,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'ša', 'ša₂', 'u', 'u₂']",8,161,0.24395373291272346,0.22292323869610936,0.0210304942166141,1.0943396226415094
23,dossier,ortho_sign,"['šu', 'šu₂', 'u', 'u₂']",4,161,0.24290220820189273,0.21871713985278654,0.024185068349106192,1.1105769230769231
24,dossier,ortho_sign,"['ia', 'ia₂', 'šu', 'šu₂', 'u', 'u₂']",6,161,0.24710830704521555,0.22818086225026288,0.018927444794952675,1.0829493087557602
25,dossier,ortho_sign,"['li', 'li₂', 'šu', 'šu₂', 'u', 'u₂']",6,161,0.23974763406940064,0.22187171398527866,0.017875920084121977,1.080568720379147
26,dossier,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'šu', 'šu₂', 'u', 'u₂']",8,161,0.24710830704521555,0.21345951629863302,0.03364879074658253,1.1576354679802956
27,dossier,ortho_sign,"['ša', 'ša₂', 'šu', 'šu₂', 'u', 'u₂']",6,161,0.23974763406940064,0.22397476340694006,0.01577287066246058,1.0704225352112677
28,dossier,ortho_sign,"['ia', 'ia₂', 'ša', 'ša₂', 'šu', 'šu₂', 'u', 'u₂']",8,161,0.23449001051524712,0.22082018927444794,0.013669821240799185,1.0619047619047621
29,dossier,ortho_sign,"['li', 'li₂', 'ša', 'ša₂', 'šu', 'šu₂', 'u', 'u₂']",8,161,0.23449001051524712,0.21976866456361724,0.014721345951629883,1.0669856459330145
30,dossier,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'ša', 'ša₂', 'šu', 'šu₂', 'u', 'u₂']",10,161,0.23449001051524712,0.21871713985278654,0.01577287066246058,1.0721153846153846
