,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
0,dossier,paleo,"['BU:..', 'BU:.p.']",2,161,0.10515247108307045,0.10199789695057834,0.003154574132492108,1.0309278350515463
1,dossier,paleo,"['DI:..', 'DI:.d.']",2,161,0.11041009463722397,0.10725552050473186,0.003154574132492108,1.0294117647058822
2,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.']",4,161,0.14195583596214512,0.13144058885383805,0.010515247108307063,1.08
3,dossier,paleo,"['LI:..', 'LI:.d.']",2,161,0.10830704521556257,0.10725552050473186,0.0010515247108307119,1.0098039215686274
4,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.']",4,161,0.12723449001051526,0.12828601472134596,-0.001051524710830698,0.9918032786885247
5,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.']",4,161,0.1398527865404837,0.14090431125131442,-0.0010515247108307257,0.9925373134328357
6,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.']",6,161,0.18506834910620398,0.16824395373291273,0.01682439537329125,1.0999999999999999
7,dossier,paleo,"['NA:..', 'NA:.t.']",2,161,0.138801261829653,0.12197686645636173,0.016824395373291265,1.1379310344827585
8,dossier,paleo,"['BU:..', 'BU:.p.', 'NA:..', 'NA:.t.']",4,161,0.1650893796004206,0.138801261829653,0.026288117770767616,1.1893939393939394
9,dossier,paleo,"['DI:..', 'DI:.d.', 'NA:..', 'NA:.t.']",4,161,0.1829652996845426,0.1587802313354364,0.024185068349106192,1.1523178807947019
10,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NA:..', 'NA:.t.']",6,161,0.22187171398527866,0.19558359621451105,0.026288117770767616,1.1344086021505377
11,dossier,paleo,"['LI:..', 'LI:.d.', 'NA:..', 'NA:.t.']",4,161,0.1808622502628812,0.16824395373291273,0.012618296529968459,1.075
12,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.']",6,161,0.22082018927444794,0.20189274447949526,0.018927444794952675,1.09375
13,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.']",6,161,0.22923238696109358,0.21240799158780233,0.01682439537329125,1.079207920792079
14,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.']",8,161,0.2544689800210305,0.22818086225026288,0.026288117770767644,1.1152073732718895
15,dossier,paleo,"['NI:..', 'NI:.d.']",2,161,0.12723449001051526,0.12513144058885384,0.0021030494216614237,1.0168067226890758
16,dossier,paleo,"['BU:..', 'BU:.p.', 'NI:..', 'NI:.d.']",4,161,0.1661409043112513,0.16824395373291273,-0.0021030494216614237,0.9874999999999999
17,dossier,paleo,"['DI:..', 'DI:.d.', 'NI:..', 'NI:.d.']",4,161,0.167192429022082,0.16298633017875921,0.004206098843322792,1.025806451612903
18,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NI:..', 'NI:.d.']",6,161,0.22502628811777076,0.2092534174553102,0.015772870662460553,1.0753768844221105
19,dossier,paleo,"['LI:..', 'LI:.d.', 'NI:..', 'NI:.d.']",4,161,0.1661409043112513,0.1619348054679285,0.00420609884332282,1.025974025974026
20,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.']",6,161,0.2092534174553102,0.2103049421661409,-0.001051524710830698,0.995
21,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.']",6,161,0.22082018927444794,0.21556256572029442,0.005257623554153518,1.024390243902439
22,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.']",8,161,0.24290220820189273,0.2323869610935857,0.010515247108307035,1.0452488687782806
