,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
0,saa_chap,ortho_sign,"['ia', 'ia₂']",2,37,0.14931650893796003,0.12513144058885384,0.024185068349106192,1.1932773109243697
1,saa_chap,ortho_sign,"['li', 'li₂']",2,37,0.14300736067297581,0.13459516298633017,0.00841219768664564,1.0625
2,saa_chap,ortho_sign,"['ia', 'ia₂', 'li', 'li₂']",4,37,0.1587802313354364,0.1366982124079916,0.022082018927444796,1.1615384615384616
3,saa_chap,ortho_sign,"['ša', 'ša₂']",2,37,0.15036803364879076,0.13564668769716087,0.014721345951629883,1.108527131782946
4,saa_chap,ortho_sign,"['ia', 'ia₂', 'ša', 'ša₂']",4,37,0.15772870662460567,0.13249211356466878,0.02523659305993689,1.1904761904761902
5,saa_chap,ortho_sign,"['li', 'li₂', 'ša', 'ša₂']",4,37,0.15352260778128285,0.138801261829653,0.014721345951629855,1.106060606060606
6,saa_chap,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'ša', 'ša₂']",6,37,0.17034700315457413,0.14616193480546794,0.024185068349106192,1.1654676258992804
7,saa_chap,ortho_sign,"['šu', 'šu₂']",2,37,0.15352260778128285,0.14090431125131442,0.012618296529968431,1.08955223880597
8,saa_chap,ortho_sign,"['ia', 'ia₂', 'šu', 'šu₂']",4,37,0.17034700315457413,0.1440588853838065,0.026288117770767616,1.1824817518248176
9,saa_chap,ortho_sign,"['li', 'li₂', 'šu', 'šu₂']",4,37,0.1619348054679285,0.14931650893796003,0.012618296529968459,1.0845070422535212
10,saa_chap,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'šu', 'šu₂']",6,37,0.1650893796004206,0.1398527865404837,0.025236593059936918,1.1804511278195489
11,saa_chap,ortho_sign,"['ša', 'ša₂', 'šu', 'šu₂']",4,37,0.1640378548895899,0.13564668769716087,0.02839116719242904,1.2093023255813955
12,saa_chap,ortho_sign,"['ia', 'ia₂', 'ša', 'ša₂', 'šu', 'šu₂']",6,37,0.17034700315457413,0.14090431125131442,0.02944269190325971,1.208955223880597
13,saa_chap,ortho_sign,"['li', 'li₂', 'ša', 'ša₂', 'šu', 'šu₂']",6,37,0.1640378548895899,0.14826498422712933,0.01577287066246058,1.1063829787234043
14,saa_chap,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'ša', 'ša₂', 'šu', 'šu₂']",8,37,0.15772870662460567,0.14195583596214512,0.015772870662460553,1.111111111111111
15,saa_chap,ortho_sign,"['u', 'u₂']",2,37,0.15036803364879076,0.1366982124079916,0.013669821240799157,1.1
16,saa_chap,ortho_sign,"['ia', 'ia₂', 'u', 'u₂']",4,37,0.1640378548895899,0.14511041009463724,0.018927444794952675,1.1304347826086956
17,saa_chap,ortho_sign,"['li', 'li₂', 'u', 'u₂']",4,37,0.15772870662460567,0.13354363827549948,0.024185068349106192,1.1811023622047243
18,saa_chap,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']",6,37,0.1661409043112513,0.1366982124079916,0.02944269190325971,1.2153846153846153
19,saa_chap,ortho_sign,"['ša', 'ša₂', 'u', 'u₂']",4,37,0.15036803364879076,0.14826498422712933,0.0021030494216614237,1.0141843971631206
20,saa_chap,ortho_sign,"['ia', 'ia₂', 'ša', 'ša₂', 'u', 'u₂']",6,37,0.1587802313354364,0.15141955835962145,0.007360672975814941,1.0486111111111112
21,saa_chap,ortho_sign,"['li', 'li₂', 'ša', 'ša₂', 'u', 'u₂']",6,37,0.15036803364879076,0.14195583596214512,0.00841219768664564,1.0592592592592593
22,saa_chap,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'ša', 'ša₂', 'u', 'u₂']",8,37,0.16298633017875921,0.138801261829653,0.02418506834910622,1.1742424242424243
23,saa_chap,ortho_sign,"['šu', 'šu₂', 'u', 'u₂']",4,37,0.15457413249211358,0.1440588853838065,0.010515247108307063,1.0729927007299271
24,saa_chap,ortho_sign,"['ia', 'ia₂', 'šu', 'šu₂', 'u', 'u₂']",6,37,0.167192429022082,0.14090431125131442,0.02628811777076759,1.1865671641791042
25,saa_chap,ortho_sign,"['li', 'li₂', 'šu', 'šu₂', 'u', 'u₂']",6,37,0.1661409043112513,0.14195583596214512,0.024185068349106192,1.1703703703703703
26,saa_chap,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'šu', 'šu₂', 'u', 'u₂']",8,37,0.17034700315457413,0.1440588853838065,0.026288117770767616,1.1824817518248176
27,saa_chap,ortho_sign,"['ša', 'ša₂', 'šu', 'šu₂', 'u', 'u₂']",6,37,0.15562565720294427,0.15036803364879076,0.005257623554153518,1.034965034965035
28,saa_chap,ortho_sign,"['ia', 'ia₂', 'ša', 'ša₂', 'šu', 'šu₂', 'u', 'u₂']",8,37,0.16298633017875921,0.1398527865404837,0.023133543638275522,1.1654135338345866
29,saa_chap,ortho_sign,"['li', 'li₂', 'ša', 'ša₂', 'šu', 'šu₂', 'u', 'u₂']",8,37,0.1598317560462671,0.14511041009463724,0.014721345951629855,1.1014492753623188
30,saa_chap,ortho_sign,"['ia', 'ia₂', 'li', 'li₂', 'ša', 'ša₂', 'šu', 'šu₂', 'u', 'u₂']",10,37,0.1598317560462671,0.1398527865404837,0.0199789695057834,1.142857142857143
