	group	group_len	purity
0	['BU:..', 'BU:.p.']	2	0.13396004700352526
1	['DI:..', 'DI:.d.']	2	0.136310223266745
2	['LI:..', 'LI:.d.']	2	0.12808460634547592
3	['NA:..', 'NA:.t.']	2	0.18331374853113983
4	['NI:..', 'NI:.d.']	2	0.18801410105757932
5	['RU:..', 'RU:.d.']	2	0.13278495887191538
6	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.']	2	0.15511163337250294
7	['ŠA:..', 'ŠA:.dm.']	2	0.14806110458284372
8	['ia', 'ia₂']	2	0.16568742655699178
9	['li', 'li₂']	2	0.16333725029377202
10	['ša', 'ša₂']	2	0.1762632197414806
11	['šu', 'šu₂']	2	0.17391304347826086
12	['u', 'u₂']	2	0.1844888366627497
13	['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	2	0.1410105757931845
14	['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	2	0.15041128084606345
15	['lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']	2	0.13278495887191538
16	['lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']	2	0.12808460634547592
17	['šulmu[completeness]N:šulmu:DI-mu', 'šulmu[completeness]N:šulmu:šul-mu']	2	0.1492361927144536
18	['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.']	4	0.18331374853113983
19	['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.']	4	0.1762632197414806
20	['BU:..', 'BU:.p.', 'NA:..', 'NA:.t.']	4	0.199764982373678
21	['BU:..', 'BU:.p.', 'NI:..', 'NI:.d.']	4	0.18683901292596944
22	['BU:..', 'BU:.p.', 'RU:..', 'RU:.d.']	4	0.18566392479435959
23	['BU:..', 'BU:.p.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']	4	0.1797884841363102
24	['BU:..', 'BU:.p.', 'ŠA:..', 'ŠA:.dm.']	4	0.17861339600470036
25	['BU:..', 'BU:.p.', 'ia', 'ia₂']	4	0.2009400705052879
26	['BU:..', 'BU:.p.', 'li', 'li₂']	4	0.19623971797884843
27	['BU:..', 'BU:.p.', 'ša', 'ša₂']	4	0.18683901292596944
28	['BU:..', 'BU:.p.', 'šu', 'šu₂']	4	0.1762632197414806
29	['BU:..', 'BU:.p.', 'u', 'u₂']	4	0.19036427732079905
30	['BU:..', 'BU:.p.', 'bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	4	0.19623971797884843
