,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
0,senderloc,allpair,"['NA:..', 'NA:.t.']",2,60,0.17058823529411765,0.14823529411764705,0.022352941176470603,1.150793650793651
1,senderloc,allpair,"['NI:..', 'NI:.d.']",2,60,0.15411764705882353,0.1588235294117647,-0.004705882352941171,0.9703703703703704
2,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.']",4,60,0.1976470588235294,0.18235294117647058,0.01529411764705882,1.0838709677419354
3,senderloc,allpair,"['|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",2,60,0.14588235294117646,0.14470588235294118,0.0011764705882352788,1.008130081300813
4,senderloc,allpair,"['NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",4,60,0.19647058823529412,0.17529411764705882,0.021176470588235297,1.1208053691275168
5,senderloc,allpair,"['NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",4,60,0.17647058823529413,0.16941176470588235,0.007058823529411784,1.0416666666666667
6,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,60,0.1976470588235294,0.1635294117647059,0.0341176470588235,1.2086330935251797
7,senderloc,allpair,"['ia', 'ia₂']",2,60,0.1623529411764706,0.14352941176470588,0.01882352941176471,1.1311475409836067
8,senderloc,allpair,"['NA:..', 'NA:.t.', 'ia', 'ia₂']",4,60,0.21411764705882352,0.17529411764705882,0.0388235294117647,1.221476510067114
9,senderloc,allpair,"['NI:..', 'NI:.d.', 'ia', 'ia₂']",4,60,0.1952941176470588,0.16705882352941176,0.028235294117647053,1.1690140845070423
10,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', 'ia', 'ia₂']",6,60,0.2188235294117647,0.16705882352941176,0.051764705882352935,1.3098591549295775
11,senderloc,allpair,"['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂']",4,60,0.1976470588235294,0.16470588235294117,0.032941176470588224,1.2
12,senderloc,allpair,"['NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂']",6,60,0.21411764705882352,0.16588235294117648,0.04823529411764704,1.2907801418439715
13,senderloc,allpair,"['NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂']",6,60,0.2023529411764706,0.17058823529411765,0.031764705882352945,1.186206896551724
14,senderloc,allpair,"['NA:..', 'NA:.t.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂']",8,60,0.2188235294117647,0.17294117647058824,0.04588235294117646,1.2653061224489794
15,senderloc,allpair,"['ša', 'ša₂']",2,60,0.1623529411764706,0.15411764705882353,0.008235294117647063,1.0534351145038168
16,senderloc,allpair,"['NA:..', 'NA:.t.', 'ša', 'ša₂']",4,60,0.19411764705882353,0.16941176470588235,0.02470588235294119,1.1458333333333335
17,senderloc,allpair,"['NI:..', 'NI:.d.', 'ša', 'ša₂']",4,60,0.18235294117647058,0.18352941176470589,-0.0011764705882353066,0.9935897435897435
