str_part,b,form,a
a,a,a-na,580
a,a,ma-a,370
a,a,u₂-ma-a,63
a,a,a-ta-a,59
a,a,la-a,51
a,a,a-na-ku,35
a,a,EN-a,32
a,a,a-dan-niš,28
a,a,a-di,28
a,a,a-du,24
a,a,a-ki,18
a,a,a,13
a,a,iq-ṭi₂-bi-a,13
a,a,a-a-ka,12
a,a,a-bat,11
a,a,iš-pur-a-ni,10
a,a,a-x,8
a,a,u₂-la-a,8
a,a,x-a,8
a,a,a-sa-par,7
a,a,a-ti-din,7
a,a,la-a-šu₂,7
a,a,{1}aš-šur-re-ṣu-u-a,7
a,a,{URU}ni-nu-a,7
a,a,i-ši-a-ri,6
a,a,{URU}a-di-a,6
a,a,a-lik,5
a,a,a-sa-kan,5
a,a,a-sap-ra,5
a,a,a-se-me,5
a,a,a-da-gal,4
a,a,a-sa-al,4
a,a,a-sa-ap-ra,4
a,a,a-sa-ṭar,4
a,a,a-šap-pa-ra,4
a,a,al-ka-a-ni,4
a,a,i-da-a-tu₂-u-a,4
a,a,ia-a-ši,4
a,a,{1}gid₂-gi-da-a-ni,4
a,a,UGU-hi-a,3
a,a,a-he-iš,3
a,a,a-mar,3
a,a,a-ni-nu,3
a,a,a-sa-al-šu₂,3
a,a,a-sa-kan-šu₂,3
a,a,a-sa-ʾa-al-šu₂,3
a,a,a-ta-al-ka,3
a,a,a-ta-mar,3
a,a,a-x+x,3
a,a,a-ša₂-pa-ra,3
a,a,a-ṣa-bat,3
a,a,la-a-šu,3
a,a,{1}a-mar-DINGIR,3
a,a,{1}a-ši-pa-a,3
a,a,{LU₂}mu-šar-ki-sa-a-ni,3
a,a,{URU}mil-qi-a,3
a,a,ši-a-ri,3
a,a,ṭa-a-ba,3
a,a,DUMU-{URU}ni-nu-a,2
a,a,E₂-mar-di-a-te,2
a,a,E₂.KUR-ra-a-te,2
a,a,a-UGU,2
a,a,a-bu-tu₂,2
a,a,a-da-at,2
a,a,a-da-bu-ub,2
a,a,a-da-na,2
a,a,a-de-e,2
a,a,a-du-bu-ub,2
a,a,a-ha-iš,2
a,a,a-hu-la-a,2
a,a,a-ka-ṣar,2
a,a,a-kan-ni,2
a,a,a-ke-e,2
a,a,a-na-ku-ma,2
a,a,a-nu-rig,2
a,a,a-sa-ap-rak-ku-nu,2
a,a,a-sa-ka-an,2
a,a,a-sa-pa-ra,2
a,a,a-sa-ta-par,2
a,a,a-sa-ʾa-al,2
a,a,a-ta-har,2
a,a,a-ta-x,2
a,a,a-tu-ṣi,2
a,a,a-šap-pa-raš-šu₂-nu,2
a,a,a-šap-par,2
