,headword,xis_entry,form,xis_form,instances_all
0,Aba[1]GN,qpn.r00000,{URU}a-ba-a,qpn.r00001,saao/sargonletters:P334350.16.1
1,Aba[1]GN,qpn.r00000,{URU}a-ba-a.a,qpn.r00002,saao/sargonletters:P334350.8.3
2,Abaliuqunu[1]PN,qpn.r00003,{1}a-ba-li-u₂-qu-nu,qpn.r00004,saao/sargonletters:P313422.9.2
3,Abaliuqunu[1]PN,qpn.r00003,{1}a-ba-lu-qu-nu,qpn.r00005,saao/sargonletters:P334257.10.1
4,Abaliuqunu[1]PN,qpn.r00003,{1}ab-li-uq-nu,qpn.r00006,"saao/sargonletters:P334090.15.3,saao/sargonletters:P334090.17.1"
5,Abat-šarri-uṣur[1]PN,qpn.r00007,{1}a-bat-LUGAL-PAB,qpn.r00008,saao/sargonletters:P334321.19.1
6,Abat-šarri-uṣur[1]PN,qpn.r00007,{1}a-bat-MAN-PAB,qpn.r00009,saao/sargonletters:P334282.3.2
7,Abattu[1]PN,qpn.r0000a,{1}a-ba-tu₂,qpn.r0000a,saao/sargonletters:P313425.53.4
8,Abdudaya[Abdudaean]EN,qpn.r0000b,{LU₂}{URU}ab-du-da-a.a,qpn.r0000b,saao/sargonletters:P334504.29.2
9,Abdudu[1]GN,qpn.r0000c,{URU}ab-du-di,qpn.r0000c,saao/sargonletters:P334104.8.2
10,Abi-Seʾ[1]PN,qpn.r0000d,{1}a-bi-si,qpn.r0000d,saao/sargonletters:P313421.7.6
11,Abi-ramu[1]PN,qpn.r0000e,{1}AD-ra-me,qpn.r0000e,saao/sargonletters:P334412.16.1
12,Abi-yaqa[1]PN,qpn.r0000f,{1}a-bi-ia-qa-a,qpn.r0000f,saao/sargonletters:P334187.10.3
13,Abile[1]PN,qpn.r00010,{1}a-bi-le-e,qpn.r00010,saao/sargonletters:P334398.14.2
14,Abu-ilaʾi[1]PN,qpn.r00011,{1}AD-DINGIR-a.a,qpn.r00011,"saao/sargonletters:P334375.23.2,saao/sargonletters:P334375.5.2"
15,Abu-lešir[1]PN,qpn.r00012,{1}AD-GIŠ,qpn.r00012,"saao/sargonletters:X900008.29.7,saao/sargonletters:X900008.9.2"
16,Abu-ul-idi[1]PN,qpn.r00013,{1}AD-ul-i-di,qpn.r00013,saao/sargonletters:P334529.5.3
17,Abu[Ab]MN,qpn.r00014,{ITI}NE,qpn.r00014,"saao/sargonletters:P334039.10.4,saao/sargonletters:P334071.32.4,saao/sargonletters:P334322.53.7"
18,Ada[1]PN,qpn.r00017,{1}a-da-a,qpn.r00017,"saao/sargonletters:P313607.4.1,saao/sargonletters:P313609.9.2,saao/sargonletters:P314281.25.7,saao/sargonletters:P334723.4.1"
19,Adad-abuʾa[1]PN,qpn.r00018,{1}10-AD-u-a,qpn.r00018,saao/sargonletters:P334830.20.6
20,Adad-aplu-iddina[1]PN,qpn.r00019,{1}{d}IM-A-AŠ,qpn.r00019,saao/sargonletters:P313457.5.1
21,Adad-ibni[1]PN,qpn.r0001a,{1}IM-DU₃,qpn.r0001b,saao/sargonletters:P334568.15.1
22,Adad-ibni[1]PN,qpn.r0001a,{1}{d}IM-DU₃,qpn.r0001c,saao/sargonletters:P334357.3.2
23,Adad-ibni[1]PN,qpn.r0001a,{1}{d}IM-ib-ni,qpn.r0001d,"saao/sargonletters:P334209.3.2,saao/sargonletters:P334210.3.2,saao/sargonletters:P334555.39.3"
24,Adad-iriba[1]PN,qpn.r0001e,{1}{d}IM-i-ri-ba,qpn.r0001e,saao/sargonletters:P313505.11.4
25,Adad-isseʾa[1]PN,qpn.r0001f,{1}10-KI-ia,qpn.r00020,saao/sargonletters:X900008.8.2
26,Adad-isseʾa[1]PN,qpn.r0001f,{1}{d}IM-KI-ia,qpn.r00021,"saao/sargonletters:P313494.3.2,saao/sargonletters:P314294.3.2,saao/sargonletters:P334222.3.2,saao/sargonletters:P334361.3.2,saao/sargonletters:P334894.3.2,saao/sargonletters:X900010.3.2"
27,Adad-nuri[1]PN,qpn.r00022,{1}{d}IM-nu-ri,qpn.r00022,saao/sargonletters:P334127.7.2
28,Adad-remanni[1]PN,qpn.r00023,{1}10-rem₂-a-ni,qpn.r00024,saao/sargonletters:P334305.8.3
29,Adad-remanni[1]PN,qpn.r00023,{1}{d}IM-rem₂-an-ni,qpn.r00025,saao/sargonletters:P334687.6.3
30,Adad-remanni[1]PN,qpn.r00023,{1}{d}IM-rem₂-ni,qpn.r00026,saao/sargonletters:P313421.11.2
31,Adad[1]DN,qpn.r00027,{d}IM,qpn.r00027,"saao/sargonletters:P313505.5.1,saao/sargonletters:P313509.5.1,saao/sargonletters:P334804.7.1"
32,Adda-hati[1]PN,qpn.r00028,{1}10-ha-ti,qpn.r00028,"saao/sargonletters:P334165.3.2,saao/sargonletters:P334166.3.2,saao/sargonletters:P334284.27.3,saao/sargonletters:X900005.3.2,saao/sargonletters:X900007.3.2"
