lemma	norm	form	cf
Aba[1]GN	Aba	{URU}a-ba-a	1
Aba[1]GN	Aba	{URU}a-ba-a.a	1
Abaliuqunu[1]PN	Abaliuqunu	{1}a-ba-li-u₂-qu-nu	1
Abaliuqunu[1]PN	Abaluqunu	{1}a-ba-lu-qu-nu	1
Abaliuqunu[1]PN	Abliuqnu	{1}ab-li-uq-nu	2
Abat-šarri-uṣur[1]PN	Abat-šarri-uṣur	{1}a-bat-LUGAL—PAB	1
Abat-šarri-uṣur[1]PN	Abat-šarri-uṣur	{1}a-bat-MAN—PAB	1
Abattu[1]PN	Abattu	{1}a-ba-tu₂	1
Abdudaya[Abdudaean]EN	Abdudaya	{LU₂}{URU}ab-du-da-a.a	1
Abdudu[1]GN	Abdudi	{URU}ab-du-di	1
Abi-Seʾ[1]PN	Abi-Seʾ	{1}a-bi-si	1
Abi-ramu[1]PN	Abi-rame	{1}AD-ra-me	1
Abi-yaqa[1]PN	Abi-yaqa	{1}a-bi-ia-qa-a	1
Abile[1]PN	Abile	{1}a-bi-le-e	1
Abu-ilaʾi[1]PN	Abu-ilaʾi	{1}AD—DINGIR-a.a	2
Abu-lešir[1]PN	Abu-lešir	{1}AD—GIŠ	2
Abu-ul-idi[1]PN	Abu-ul-idi	{1}AD-ul-i-di	1
Abu[Ab]MN	Abi	{ITI}NE	2
Abu[Ab]MN	Abu	{ITI}NE	1
Ada[1]PN	Ada	{1}a-da-a	4
Adad-abuʾa[1]PN	Adad-abuʾa	{1}10-AD-u-a	1
Adad-aplu-iddina[1]PN	Adad-aplu-iddina	{1}{d}IM—A—AŠ	1
Adad-ibni[1]PN	Adad-ibni	{1}IM—DU₃	1
Adad-ibni[1]PN	Adad-ibni	{1}{d}IM-ib-ni	3
Adad-ibni[1]PN	Adad-ibni	{1}{d}IM—DU₃	1
Adad-iriba[1]PN	Adad-iriba	{1}{d}IM-i-ri-ba	1
Adad-isseʾa[1]PN	Adad-isseʾa	{1}10-KI-ia	1
Adad-isseʾa[1]PN	Adad-isseʾa	{1}{d}IM—KI-ia	1
Adad-isseʾa[1]PN	no-norm	{1}{d}IM—KI-ia	5
Adad-nuri[1]PN	Adad-nuri	{1}{d}IM-nu-ri	1
Adad-remanni[1]PN	Adad-remanni	{1}10-rem₂-a-ni	1
Adad-remanni[1]PN	Adad-remanni	{1}{d}IM-rem₂-an-ni	1
Adad-remanni[1]PN	Adad-remanni	{1}{d}IM-rem₂-ni	1
Adad[1]DN	Adad	E₂-{d}IM-ša₂-zu-un-ni	1
Adad[1]DN	Adad	{d}IM	3
Adda-hati[1]PN	Adda-hati	{1}10-ha-ti	5
Adda-imme[1]PN	Adda-imme	{1}{d}IM-im-me	1
Adda-ramu[1]PN	Adda-rami	{1}10-ra-mi	1
Adda-šumki[1]PN	Adda-šumki	{1}10-šum₂-ki	1
Addaru[Adar]MN	Addari	{ITI}DIRI.ŠE	2
Addaru[Adar]MN	Addari	{ITI}ŠE	10
Adia[1]GN	Adia	{URU}a-di-a	7
Adian[1]GN	Adian	{URU}EN-an	3
Adinni[1]GN	Adinni	{URU}a-di-ni	1
Ahat-abiša[1]PN	Ahat-abiša	{MI₂}NIN—AD-ša₂	1
Ahhešaya[1]PN	Ahhešaya	{1}ah-he-ša₂-a.a	1
Ahhutun[1]PN	Ahhutun	{1}a-hu-tu-un	1
Ahi-yaqar[1]PN	Ahi-yaqar	{1}PAB-ia-qar	1
Ahu-bani[1]PN	Ahu-bani	{1}PAB-ba-ni	1
Ahu-illika[1]PN	Ahu-illika	{1}PAB—DU-ka	1
Ahu-leʾi[1]PN	Ahu-leʾi	{1}PAB-le-e	2
Ahu-lurši[1]PN	Ahu-lurši	{1}PAB—TUKU-ši	1
Ahu-lurši[1]PN	Ahu-lurši	{1}ŠEŠ-lu-ur-ši	2
Ahu-nuri[1]PN	Ahu-nuri	{1}PAB—ZALAG₂	1
Aira[1]GN	Aira	{URU}a-i-ra	1
Akburu[1]PN	Akbur	{1}ak-bur	1
Akkadayu[1]PN	Akkadaya	{1}ak-ka-da-a.a	1
Akkuddu[1]GN	Akkuddu	{URU}ak-ku-du	1
Akkuddu[1]GN	Akkuddumma	{URU}ak-ku-du-ma	1
Al-Aššur[Assur]GN	Al-Aššur	URU-aš-šur	1
Al-šukkalli[1]GN	Al-šukkalli	URU-{LU₂}SUKKAL	1
Alamu[1]GN	Alamu	{URU}a-la-mu	1
Alu-ša-tamkari[Merchant Town]GN	Alu-ša-tamkari	URU-ša₂-{LU₂}DAM.QAR	1
Alzi[1]GN	Alzi	{KUR}al-zi	1
Alzunu[1]GN	Alzunu	{KUR}al-zu-nu	1
Amakani[1]PN	Amakani	{1}a-ma-ka-ni	1
Amantu[1]GN	Amante	{URU}am-an-te	1
Amar-ili[1]PN	Amar-ili	{1}a-mar-DINGIR	4
Amat-Bel-uṣur[1]PN	Amat-Bel-uṣur	{1}a-mat-EN—PAB	1
Amiru[1]PN	Ameri	{1}a-me-ri	1
Amiru[1]PN	Amiri	{1}a-me-ri	1
Amiru[1]PN	Amiri	{1}a-mi-ri	1
Ammi-leti[1]PN	Ammi-leʾti	{1}a-mi-li-iʾ-ti	3
Ammi-raʾi[1]PN	Ammi-raʾi	{1}am-ra-i	1
Ammi-yataʾ[1]PN	Ammi-yataʾ	{1}am-ia-ta-aʾ	4
Ampihabi[1]GN	Ampihabi	{KUR}am-pi-ha-a-bi	1
Amqarrunaya[Ekronite]EN	Anqarrunaya	{KUR}an-qar-ru-na-a.a	1
Anat[1]GN	Anate	{URU}ana-te	1
Andia[1]GN	Andia	{KUR}an-di-a	1
Andiaya[Andian]EN	Andiaya	{KUR}an-di-a.a	4
Anisu[1]GN	Anisu	{URU}a-ni-su	4
Anu-ereš[1]PN	Anu-ereš	{1}{d}a-nu-APIN-eš	1
Anu[1]DN	Anum	{d}a-num	1
Apalla[1]GN	Apalla	{URU}ap-al-la-a	1
Aparu[1]GN	Apari	{URU}a-pa-ri	1
Apku[1]GN	Apku	{URU}ap-ku	2
Aplaya[1]PN	Aplaya	{1}DUMU.UŠ-a.a	2
Aplaya[1]PN	Aplaya	{1}DUMU.UŠ-ia	2
Appa[1]PN	Appa	{1}ap-pa-a	1
Appina[1]GN	Appina	{URU}ap-pi-na	2
Aqaba[1]PN	Aqaba	{1}a-qa-ba	1
Aradataya[1]EN	Aradataya	{LU₂}a-ra-da-ta-a-a	1
Arahsamnu[Marchesvan]MN	Arahsamni	{ITI}APIN	3
Arazaya[Arazean]EN	Arazaya	{URU}a-ra-za-a.a	1
Araši[1]GN	Araši	{KUR}a-ra-ši	1
Arbail[Arbela]GN	Arbail	{URU}arba-il₃	14
Arbailayu[1]PN	Arbailaya	{1}arba-il₃-a.a	2
Arbailayu[1]PN	Arbailaya	{1}{URU}arba-il₃-a.a	2
Arbaya[Arab]EN	Arbaya	{LU₂}ar-ba-a.a	8
Arbaya[Arab]EN	Arpaya	{KUR}ar-pa-a.a	2
Arbaya[Arab]EN	Arpaya	{KUR}ar₂-pa-a.a	1
Arbayu[1]PN	Arbaya	{1}ar₂-ba-a.a	1
Argada[1]GN	Argada	{URU}ar-ga-da	1
Argisti[1]RN	Argista	{1}ar-gi-is-ta	1
Argistiani[1]GN	Irgistiani	{URU}ir-gi-is-ti-a-ni	2
Argite[1]GN	Argite	{URU}ar-gi-te	2
Arhi[1]GN	Arhi	{URU}ar-hi	1
Ariawate[1]GN	Ariawate	{URU}ar-ia-u-a-te	2
Ariaza[1]PN	Ariaza	{1}a-ri-a-za-a	2
Ariaza[1]PN	Ariaza	{1}a-ri-ia-za-a	1
Ariaza[1]PN	Ariza	{1}a-ri-za-a	4
Ariaza[1]PN	Uriza	{1}u₂-ri-za-a	2
Aridu[1]GN	Aridi	{URU}a-ri-di	1
Arihu[1]PN	Arihi	{1}a-ri-hi	2
Ariye[1]PN	Ariye	{1}a-ri-e	15
Ariye[1]PN	Ariye	{1}a-ri-ia-e	1
Ariye[1]PN	Ariye	{1}ar-ie-e	2
Armaya[Aramean]EN	Armaya	{LU₂}ar₂-ma-a-a	1
Armiraliu[1]GN	Armiraliu	{KUR}ar₂-mir-a-li-u	1
Arpadda[Arpad]GN	Arpadda	{URU}ar-pad-da	2
Arpadda[Arpad]GN	Arpadda	{URU}ar₂-pad-da	2
Arpadda[Arpad]GN	Arpaddu	{URU}ar-pad-du	1
Arpaddaya[from Arpad]EN	Arpaddaya	{URU}ar-pad-da-a.a	1
Arrakdi[1]GN	Arrakdi	{URU}a-ra-ak-di	2
Arranu[1]GN	Arranu	{URU}ar₂-ra-nu	2
Arrapha[1]GN	Arrapha	arrap-ha{KI}	1
Arrapha[1]GN	Arrapha	{URU}arrap-ha	30
Arrapha[1]GN	Arrapha	{URU}arrap-ra-ap-ha	1
Arrapha[1]GN	Arrapha	{URU}ar₂-arrap-ha	1
Arraphaya[1]EN	Arraphaya	{URU}arrap-ha-a.a	4
Arzabia[1]GN	Arzabia	{URU}ar-za-bi-a	1
Arzabiaya[Arzabian]EN	Arzabiaya	{KUR}ar-za-bi-i-a.a	2
Arzaya[1]PN	Arzaya	{1}ar-za-a.a	2
Arzizaya[Arzizean]EN	Arzizaya	{LU₂}ar-zi-za-a.a	1
Arzizi[1]GN	Arzizi	{URU}ar-zi-zi	1
Arzuhina[1]GN	Arzuhina	{URU}ar-zu-hi-na	4
Arzuhina[1]GN	Arzuhina	{URU}ar₂-zu-hi-na	1
Arzuhina[1]GN	Urzuhina	{URU}ur-zu-hi-na	20
Arzuhinaya[1]EN	Arzuhinaya	{URU}ar₂-zu-hi-na-a.a	1
Arzuhinaya[1]EN	Urzuhinaya	{URU}ur-zu-hi-na-a.a	1
Asdudaya[Ashdodite]EN	Sadudaya	{KUR}sa-du-da-a.a	2
Asrukanu[1]PN	Asrukani	{1}as-ru-ka-a-ni	1
Asrukanu[1]PN	Asrukani	{1}as-ru-ka-ni	1
Asrukanu[1]PN	Asrukanu	{1}as-ru-ka-nu	1
Ata[1]PN	Ata	{1}a-ta-a	1
Atanha-Šamaš[1]PN	Atanha-Šamaš	{1}a-tan-ha-{d}UTU	2
Atta-idri[1]PN	Atta-idri	{1}a-ta-a-id-ri	1
Attar-ham[1]PN	Attar-ham	{1}a-tar-ha-am	2
Atunnaya[1]EN	Attunaya	{KUR}at-tu-na-a.a	1
Atunnaya[1]EN	Atunnaya	{URU}a-tu₂-na-a.a	1
Aya-barakka[1]PN	Aya-barakka	{1}a.a—BARAG	1
Aya-hari[1]PN	Aya-hari	{1}ia-ha-ri	1
Ayaru[Iyyar]MN	Ayari	{ITI}GUD	4
Aza[1]PN	Aza	{1}a-za-a	1
Azari[1]GN	Azari	{URU}a-za-ri	1
Ašapi[1]PN	Ašapi	{1}a-ša₂-pi	1
Ašipa[1]PN	Ašipa	{1}a-ši-pa-a	14
Ašpa-bara[1]PN	Ašpa-bara	{1}aš₂-pa-ba-ra	1
Ašpa-bara[1]PN	Ašpa-bari	{1}aš₂-pa-ba-ri	5
Ašpa-bara[1]PN	Išpa-bara	{1}iš-pa-ba-ra	1
Aššur-alik-pani[1]PN	Aššur-alik-pani	{1}aš-šur-a-lik-pa-an	1
Aššur-alik-pani[1]PN	Aššur-alik-pani	{1}aš-šur-a-lik-pa-ni	8
Aššur-ašared[1]PN	Aššur-ašared	{1}aš-šur-MAŠ	1
Aššur-balti-niše[1]PN	Aššur-balti-niše	{1}aš-šur-TEŠ₂—UN-MEŠ	1
Aššur-balti-niše[1]PN	Aššur-balti-niše	{1}aš-šur-TEŠ₂—UN-MEŠ-ma	1
Aššur-balti-niše[1]PN	no-norm	{1}aš-šur-TEŠ₂—UN-MEŠ	1
Aššur-bani[1]PN	Aššur-bani	{1}aš-šur-ba-ni	12
Aššur-bel-šarrani[1]PN	Aššur-bel-šarrani	{1}aš-šur-EN—MAN-MEŠ-ni	1
Aššur-belu-daʾʾin[1]PN	Aššur-belu-daʾʾin	{1}aš-šur-EN—KALAG-in	3
Aššur-belu-taqqin[1]PN	Aššur-belu-taqqin	{1}aš-šur-EN—LAL	2
Aššur-belu-taqqin[1]PN	Aššur-belu-taqqin	{1}aš-šur-EN—LAL-in	4
Aššur-belu-taqqin[1]PN	Aššur-belu-taqqin	{1}aš-šur-U—LAL	6
Aššur-belu-taqqin[1]PN	Aššur-belu-taqqin	{1}aš-šur-U—LAL-in	4
Aššur-belu-udaʾʾan[1]PN	Aššur-belu-udaʾʾan	{1}aš-šur-EN—KALAG-an	3
Aššur-belu-uṣur[1]PN	Aššur-belu-uṣur	{1}aš-šur-EN—PAB	5
Aššur-bessunu[1]PN	Aššur-bessunu	{1}aš-šur-be₂-sun₂	1
Aššur-bessunu[1]PN	Aššur-bessunu	{1}aš-šur-bi-su-nu	1
Aššur-dalal[1]PN	Aššur-dalal	{1}aš-šur-da-lal	1
Aššur-daʾʾinanni[1]PN	Aššur-daʾʾinanni	{1}aš-šur-KALAG-an-ni	1
Aššur-dur-paniya[1]PN	Aššur-dur-paniya	{1}aš-šur-BAD₃-pa-ni-ia	1
Aššur-dur-paniya[1]PN	Aššur-dur-paniya	{1}aš-šur-BAD₃—IGI-ia	1
Aššur-dur-paniya[1]PN	no-norm	{1}aš-šur-BAD₃—IGI-ia	5
Aššur-ereš[1]PN	Aššur-ereš	{1}aš-šur-KAM-eš	1
Aššur-iddin[1]PN	Aššur-iddin	{1}aš-šur-AŠ	1
Aššur-ilaʾi[1]PN	Aššur-ilaʾi	{1}aš-šur-DINGIR-a.a	1
Aššur-leʾi[1]PN	Aššur-leʾi	{1}aš-šur-ZU	5
Aššur-nadin-ahhe[1]PN	Aššur-nadin-ahhe	{1}aš-šur-SUM—PAB-MEŠ	1
Aššur-naʾdi[1]PN	Aššur-naʾdi	{1}aš-šur-I	1
Aššur-neše[Aššur-of-Lions]GN	Aššur-neše	aš-šur-UR.MAH-MEŠ	1
Aššur-patinu[1]PN	Aššur-patinu	{1}aš-šur-pa-ti-nu	4
Aššur-remanni[1]PN	Aššur-remanni	{1}aš-šur-rem₂-a-ni	3
Aššur-remanni[1]PN	Aššur-remanni	{1}aš-šur-rem₂-an-ni	3
Aššur-remanni[1]PN	Aššur-remanni	{1}{d}aš-šur-rem₂-an-ni	1
Aššur-reši-išši[1]PN	Aššur-reši-išši	{1}aš-šur-SAG-i-ši	2
Aššur-reṣiwa[1]PN	Aššur-reṣiwa	{1}aš-šur-re-ṣi-u-a	2
Aššur-reṣuwa[1]PN	Aššur-reṣuwa	{1}aš-šur-re-ṣu-u-a	27
Aššur-zeru-ibni[1]PN	Aššur-zeru-ibni	{1}aš-šur-NUMUN—DU₃	1
Aššur-šarrani[1]PN	Aššur-šarrani	{1}aš-šur-MAN-a-ni	1
Aššur-šarru-ibni[1]PN	Aššur-šarru-ibni	{1}aš-šur-MAN—DU₃	1
Aššur-šarru-uṣur[1]PN	Aššur-šarru-uṣur	{1}aš-šur-MAN—PAB	4
Aššur-šumu-kaʾʾin[1]PN	Aššur-šumu-kaʾʾin	{1}aš-šur-MU-ki-in	2
Aššur-šumu-kaʾʾin[1]PN	Aššur-šumu-kaʾʾin	{1}aš-šur-MU—GIN	1
Aššur-šumu-kaʾʾin[1]PN	Aššur-šumu-kaʾʾin	{1}aš-šur-MU—GIN-in	1
Aššur-ṣabtanni[1]PN	Aššur-ṣabtanni	{1}aš-šur-DIB-an-ni	1
Aššur[1]DN	Aššur	E₂-aš-šur	5
Aššur[1]DN	Aššur	KA₂-aš-šur	1
Aššur[1]DN	Aššur	KUR-aš-šur	17
Aššur[1]DN	Aššur	KUR-aš-šur{KI}	29
Aššur[1]DN	Aššur	KUR-{d}aš-šur{KI}	1
Aššur[1]DN	Aššur	aš-šur	39
Aššur[1]DN	Aššur	{d}aš-šur	3
Aššur[Aššur]DN	Aššur	KUR-aš-šur	1
Aššuraya[Assyrian]EN	Aššurate	aš-šur-a.a-te	1
Aššuraya[Assyrian]EN	Aššuraya	aš-šur-a.a	2
Aššuraya[Assyrian]EN	Aššuraya	{KUR}aš-šur-a.a	5
Aššuraya[Assyrian]EN	Aššuraya	{KUR}aš-šur{KI}-a.a	1
Aššuraya[Assyrian]EN	Aššuraya	{LU₂}aš-šur-a.a	1
Bab-bitqi[1]GN	Bab-bitqi	KA₂-bit-qi	1
Bab-bitqi[1]GN	Bab-bitqi	{URU}KA₂-bit-qi	5
Babili[Babylon]GN	Babili	DUMU-MEŠ—KA₂.DINGIR	1
Babili[Babylon]GN	Babili	DUMU-MEŠ—KA₂.DINGIR{KI}	2
Babili[Babylon]GN	Babili	DUMU-MEŠ—TIN.TIR{KI}	1
Babili[Babylon]GN	Babili	DUMU—KA₂.DINGIR	3
Babili[Babylon]GN	Babili	DUMU—KA₂.DINGIR-MEŠ	1
Babili[Babylon]GN	Babili	DUMU—KA₂.DINGIR.RA	3
Babili[Babylon]GN	Babili	DUMU—KA₂.DINGIR.RA{KI}	2
Babili[Babylon]GN	Babili	DUMU—KA₂.DINGIR{KI}	3
Babili[Babylon]GN	Babili	DUMU—KA₂.DINGIR{KI}-MEŠ	1
Babili[Babylon]GN	Babili	KA₂.DINGIR	2
Babili[Babylon]GN	Babili	KA₂.DINGIR.RA{KI}	7
Babili[Babylon]GN	Babili	KA₂.DINGIR{KI}	8
Babili[Babylon]GN	Babili	TIN.TIR{KI}	3
Babili[Babylon]GN	Babili	{LU₂}DUMU—KA₂.DINGIR.RA	1
Babili[Babylon]GN	Babili	{LU₂}DUMU—KA₂.DINGIR.RA{KI}	1
Babili[Babylon]GN	Babili	{LU₂}DUMU—KA₂.DINGIR{KI}	1
Babili[Babylon]GN	Babili	{LU₂}DUMU—TIN.TIR{KI}	1
