,headword,xis_entry,instances_all
0,Aba[1]GN,qpn.r00000,"saao/sargonletters:P334350.16.1 ({URU}a-ba-a),saao/sargonletters:P334350.8.3 ({URU}a-ba-a.a)"
1,Abaliuqunu[1]PN,qpn.r00003,"saao/sargonletters:P313422.9.2 ({1}a-ba-li-u₂-qu-nu),saao/sargonletters:P334257.10.1 ({1}a-ba-lu-qu-nu),saao/sargonletters:P334090.15.3 ({1}ab-li-uq-nu),saao/sargonletters:P334090.17.1 ({1}ab-li-uq-nu)"
2,Abat-šarri-uṣur[1]PN,qpn.r00007,"saao/sargonletters:P334321.19.1 ({1}a-bat-LUGAL-PAB),saao/sargonletters:P334282.3.2 ({1}a-bat-MAN-PAB)"
3,Abattu[1]PN,qpn.r0000a,saao/sargonletters:P313425.53.4 ({1}a-ba-tu₂)
4,Abdudaya[Abdudaean]EN,qpn.r0000b,saao/sargonletters:P334504.29.2 ({LU₂}{URU}ab-du-da-a.a)
5,Abdudu[1]GN,qpn.r0000c,saao/sargonletters:P334104.8.2 ({URU}ab-du-di)
6,Abi-Seʾ[1]PN,qpn.r0000d,saao/sargonletters:P313421.7.6 ({1}a-bi-si)
7,Abi-ramu[1]PN,qpn.r0000e,saao/sargonletters:P334412.16.1 ({1}AD-ra-me)
8,Abi-yaqa[1]PN,qpn.r0000f,saao/sargonletters:P334187.10.3 ({1}a-bi-ia-qa-a)
9,Abile[1]PN,qpn.r00010,saao/sargonletters:P334398.14.2 ({1}a-bi-le-e)
10,Abu-ilaʾi[1]PN,qpn.r00011,"saao/sargonletters:P334375.23.2 ({1}AD-DINGIR-a.a),saao/sargonletters:P334375.5.2 ({1}AD-DINGIR-a.a)"
11,Abu-lešir[1]PN,qpn.r00012,"saao/sargonletters:X900008.29.7 ({1}AD-GIŠ),saao/sargonletters:X900008.9.2 ({1}AD-GIŠ)"
12,Abu-ul-idi[1]PN,qpn.r00013,saao/sargonletters:P334529.5.3 ({1}AD-ul-i-di)
13,Abu[Ab]MN,qpn.r00014,"saao/sargonletters:P334039.10.4 ({ITI}NE),saao/sargonletters:P334071.32.4 ({ITI}NE),saao/sargonletters:P334322.53.7 ({ITI}NE)"
14,Ada[1]PN,qpn.r00017,"saao/sargonletters:P313607.4.1 ({1}a-da-a),saao/sargonletters:P313609.9.2 ({1}a-da-a),saao/sargonletters:P314281.25.7 ({1}a-da-a),saao/sargonletters:P334723.4.1 ({1}a-da-a)"
15,Adad-abuʾa[1]PN,qpn.r00018,saao/sargonletters:P334830.20.6 ({1}10-AD-u-a)
16,Adad-aplu-iddina[1]PN,qpn.r00019,saao/sargonletters:P313457.5.1 ({1}{d}IM-A-AŠ)
17,Adad-ibni[1]PN,qpn.r0001a,"saao/sargonletters:P334568.15.1 ({1}IM-DU₃),saao/sargonletters:P334357.3.2 ({1}{d}IM-DU₃),saao/sargonletters:P334209.3.2 ({1}{d}IM-ib-ni),saao/sargonletters:P334210.3.2 ({1}{d}IM-ib-ni),saao/sargonletters:P334555.39.3 ({1}{d}IM-ib-ni)"
18,Adad-iriba[1]PN,qpn.r0001e,saao/sargonletters:P313505.11.4 ({1}{d}IM-i-ri-ba)
19,Adad-isseʾa[1]PN,qpn.r0001f,"saao/sargonletters:X900008.8.2 ({1}10-KI-ia),saao/sargonletters:P313494.3.2 ({1}{d}IM-KI-ia),saao/sargonletters:P314294.3.2 ({1}{d}IM-KI-ia),saao/sargonletters:P334222.3.2 ({1}{d}IM-KI-ia),saao/sargonletters:P334361.3.2 ({1}{d}IM-KI-ia),saao/sargonletters:P334894.3.2 ({1}{d}IM-KI-ia),saao/sargonletters:X900010.3.2 ({1}{d}IM-KI-ia)"
20,Adad-nuri[1]PN,qpn.r00022,saao/sargonletters:P334127.7.2 ({1}{d}IM-nu-ri)
21,Adad-remanni[1]PN,qpn.r00023,"saao/sargonletters:P334305.8.3 ({1}10-rem₂-a-ni),saao/sargonletters:P334687.6.3 ({1}{d}IM-rem₂-an-ni),saao/sargonletters:P313421.11.2 ({1}{d}IM-rem₂-ni)"
22,Adad[1]DN,qpn.r00027,"saao/sargonletters:P313505.5.1 ({d}IM),saao/sargonletters:P313509.5.1 ({d}IM),saao/sargonletters:P334804.7.1 ({d}IM)"
23,Adda-hati[1]PN,qpn.r00028,"saao/sargonletters:P334165.3.2 ({1}10-ha-ti),saao/sargonletters:P334166.3.2 ({1}10-ha-ti),saao/sargonletters:P334284.27.3 ({1}10-ha-ti),saao/sargonletters:X900005.3.2 ({1}10-ha-ti),saao/sargonletters:X900007.3.2 ({1}10-ha-ti)"
24,Adda-imme[1]PN,qpn.r00029,saao/sargonletters:P314016.6.4 ({1}{d}IM-im-me)
25,Adda-ramu[1]PN,qpn.r0002a,saao/sargonletters:P314018.5.6 ({1}10-ra-mi)
26,Adda-šumki[1]PN,qpn.r0002b,saao/sargonletters:P334214.9.3 ({1}10-šum₂-ki)
27,Addaru[Adar]MN,akk.r00000,saao/sargonletters:P334587.18.3 ({ITI}DIRI.ŠE)
