,form,headword,instance,xis_entry,xis_form
0,a-ba-ak,abāku[lead away]V,saao/sargonletters:P314281.18.2,akk.r00033,akk.r00034
1,a-tab-ka,abāku[lead away]V,saao/sargonletters:P313450.15.3,akk.r00033,akk.r00035
2,e-tab-ku,abāku[lead away]V,saao/sargonletters:P313753.19.1,akk.r00033,akk.r00036
3,e-tab-ku,abāku[lead away]V,saao/sargonletters:X900012.20.9,akk.r00033,akk.r00036
4,e-tab-ku-u-ni,abāku[lead away]V,saao/sargonletters:P313450.13.1,akk.r00033,akk.r00037
5,i-ta-ba-ka,abāku[lead away]V,saao/sargonletters:P334041.39.2,akk.r00033,akk.r00038
6,ta-bu-uk-šu₂-nu,abāku[lead away]V,saao/sargonletters:P334037.24.2,akk.r00033,akk.r00039
7,e-tab-la,abālu[dry (up)]V,saao/sargonletters:P313871.13.7,akk.r0003a,akk.r0003b
8,e-tab-lu,abālu[dry (up)]V,saao/sargonletters:P334316.15.3,akk.r0003a,akk.r0003c
9,a-ba-ti,abati[(meaning unknown)]N,saao/sargonletters:P313575.32.1,akk.r0000d,akk.r0000d
10,in-na-bit-u-ni,abātu[run away]V,saao/sargonletters:P313822.5.3,akk.r0003d,akk.r0003d
11,a-bi-ik-tu₂,abiktu[defeat]N,saao/sargonletters:P334092.11.2,akk.r0000e,akk.r0000f
12,a-pi-ik-te,abiktu[defeat]N,saao/sargonletters:P334104.23.2,akk.r0000e,akk.r00010
13,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P313416.10.1,akk.r00011,akk.r00012
14,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334054.5.3,akk.r00011,akk.r00012
15,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334054.7.5,akk.r00011,akk.r00012
16,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334444.4.3,akk.r00011,akk.r00012
17,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334444.8.2,akk.r00011,akk.r00012
18,NA₄-MEŠ,abnu[stone]N,saao/sargonletters:P334910.17.5,akk.r00011,akk.r00012
19,{NA₄}a-ba-na-ti,abnu[stone]N,saao/sargonletters:P334445.6.1,akk.r00011,akk.r00013
20,AD-AD-ia,abu[father]N,saao/sargonletters:P314283.24.2,akk.r00014,akk.r00015
21,AD-AD-ia₂,abu[father]N,saao/sargonletters:P334386.29.4,akk.r00014,akk.r00016
22,AD-MEŠ-ia,abu[father]N,saao/sargonletters:P313759.9.7,akk.r00014,akk.r00017
23,AD-MEŠ-ka,abu[father]N,saao/sargonletters:P334586.19.2,akk.r00014,akk.r00018
24,AD-MEŠ-ni,abu[father]N,saao/sargonletters:P334586.22.2,akk.r00014,akk.r00019
25,AD-MEŠ-ni,abu[father]N,saao/sargonletters:P334910.30.2,akk.r00014,akk.r00019
26,AD-a,abu[father]N,saao/sargonletters:P334080.24.5,akk.r00014,akk.r0001a
27,AD-ia,abu[father]N,saao/sargonletters:P314283.24.1,akk.r00014,akk.r0001b
28,AD-ia,abu[father]N,saao/sargonletters:P334386.29.2,akk.r00014,akk.r0001b
29,AD-ia,abu[father]N,saao/sargonletters:P334910.26.2,akk.r00014,akk.r0001b
30,AD-ka,abu[father]N,saao/sargonletters:P334258.14.4,akk.r00014,akk.r0001c
31,AD-ka,abu[father]N,saao/sargonletters:P334910.29.4,akk.r00014,akk.r0001c
32,AD-u-a,abu[father]N,saao/sargonletters:P313472.43.7,akk.r00014,akk.r0001d
33,AD-u-a,abu[father]N,saao/sargonletters:P334910.21.2,akk.r00014,akk.r0001d
34,AD-u₂-a,abu[father]N,saao/sargonletters:P313802.4.2,akk.r00014,akk.r0001e
35,AD-šu₂,abu[father]N,saao/sargonletters:P313543.16.3,akk.r00014,akk.r0001f
36,AD-šu₂,abu[father]N,saao/sargonletters:P334048.23.3,akk.r00014,akk.r0001f
37,AD-šu₂,abu[father]N,saao/sargonletters:P334080.28.1,akk.r00014,akk.r0001f
38,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334079.17.2,akk.r00014,akk.r00020
39,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334079.35.2,akk.r00014,akk.r00020
40,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334079.7.1,akk.r00014,akk.r00020
41,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334396.18.1,akk.r00014,akk.r00020
42,DUMU-ŠEŠ-AD-šu₂,abu[father]N,saao/sargonletters:P334502.21.5,akk.r00014,akk.r00020
43,E₂-AD-ia,abu[father]N,saao/sargonletters:P313920.9.3,akk.r00014,akk.r00021
44,E₂-AD-ia,abu[father]N,saao/sargonletters:P334693.4.6,akk.r00014,akk.r00021
45,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P313480.36.3,akk.r00014,akk.r00022
46,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P313480.9.2,akk.r00014,akk.r00022
47,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P314177.7.1,akk.r00014,akk.r00022
48,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P334100.27.3,akk.r00014,akk.r00022
49,E₂-AD-šu₂,abu[father]N,saao/sargonletters:P334100.47.3,akk.r00014,akk.r00022
50,E₂-AD-šu₂-u-ni,abu[father]N,saao/sargonletters:P313609.5.2,akk.r00014,akk.r00023
51,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P313427.31.1,akk.r0002c,akk.r0002d
52,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P313427.41.1,akk.r0002c,akk.r0002d
53,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P313439.9.4,akk.r0002c,akk.r0002d
54,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P313776.12.10,akk.r0002c,akk.r0002d
55,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.22.2,akk.r0002c,akk.r0002d
56,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.25.6,akk.r0002c,akk.r0002d
57,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.27.5,akk.r0002c,akk.r0002d
58,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.28.2,akk.r0002c,akk.r0002d
59,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.38.3,akk.r0002c,akk.r0002d
60,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334333.9.2,akk.r0002c,akk.r0002d
61,KA₂.GAL,abullu[(city) gate]N,saao/sargonletters:P334644.8.3,akk.r0002c,akk.r0002d
62,a-bul-li,abullu[(city) gate]N,saao/sargonletters:P313425.39.4,akk.r0002c,akk.r0002e
63,a-bat,awātu[word]N,saao/sargonletters:P224485.2.1,akk.r0045e,akk.r0045f
64,a-bat,awātu[word]N,saao/sargonletters:P313452.34.1,akk.r0045e,akk.r0045f
65,a-bat,awātu[word]N,saao/sargonletters:P313551.7.1,akk.r0045e,akk.r0045f
66,a-bat,awātu[word]N,saao/sargonletters:P314026.2.1,akk.r0045e,akk.r0045f
67,a-bat,awātu[word]N,saao/sargonletters:P334037.12.3,akk.r0045e,akk.r0045f
68,a-bat,awātu[word]N,saao/sargonletters:P334104.24.2,akk.r0045e,akk.r0045f
69,a-bat,awātu[word]N,saao/sargonletters:P334152.20.1,akk.r0045e,akk.r0045f
70,a-bat,awātu[word]N,saao/sargonletters:P334190.2.1,akk.r0045e,akk.r0045f
71,a-bat,awātu[word]N,saao/sargonletters:P334193.2.1,akk.r0045e,akk.r0045f
72,a-bat,awātu[word]N,saao/sargonletters:P334194.2.1,akk.r0045e,akk.r0045f
73,a-bat,awātu[word]N,saao/sargonletters:P334195.2.1,akk.r0045e,akk.r0045f
74,a-bat,awātu[word]N,saao/sargonletters:P334318.20.2,akk.r0045e,akk.r0045f
75,a-bat,awātu[word]N,saao/sargonletters:P334403.20.1,akk.r0045e,akk.r0045f
76,a-bat,awātu[word]N,saao/sargonletters:P334598.10.1,akk.r0045e,akk.r0045f
77,a-bat,awātu[word]N,saao/sargonletters:P334671.17.4,akk.r0045e,akk.r0045f
78,a-bat,awātu[word]N,saao/sargonletters:P334820.29.3,akk.r0045e,akk.r0045f
79,a-bat,awātu[word]N,saao/sargonletters:P334849.13.2,akk.r0045e,akk.r0045f
80,a-bat,awātu[word]N,saao/sargonletters:X900004.8.2,akk.r0045e,akk.r0045f
81,a-bat,awātu[word]N,saao/sargonletters:X900006.2.1,akk.r0045e,akk.r0045f
82,a-bat-u-ni,awātu[word]N,saao/sargonletters:P334187.46.4,akk.r0045e,akk.r00460
83,a-bi-te,awātu[word]N,saao/sargonletters:P334037.25.4,akk.r0045e,akk.r00461
84,a-bi-te,awātu[word]N,saao/sargonletters:P334091.14.1,akk.r0045e,akk.r00461
85,a-bi-te,awātu[word]N,saao/sargonletters:P334688.10.3,akk.r0045e,akk.r00461
86,a-bi-ti,awātu[word]N,saao/sargonletters:P313874.13.3,akk.r0045e,akk.r00462
87,a-bu-tu,awātu[word]N,saao/sargonletters:P313491.8.1,akk.r0045e,akk.r00463
88,a-bu-tu,awātu[word]N,saao/sargonletters:P334288.13.1,akk.r0045e,akk.r00463
89,a-bu-tu₂,awātu[word]N,saao/sargonletters:P313778.3.6,akk.r0045e,akk.r00464
90,a-bu-tu₂,awātu[word]N,saao/sargonletters:P314171.6.4,akk.r0045e,akk.r00464
91,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334150.15.2,akk.r0045e,akk.r00464
92,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334263.44.3,akk.r0045e,akk.r00464
93,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334305.25.1,akk.r0045e,akk.r00464
94,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334519.16.7,akk.r0045e,akk.r00464
95,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334631.11.2,akk.r0045e,akk.r00464
96,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334671.10.2,akk.r0045e,akk.r00464
97,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334711.13.3,akk.r0045e,akk.r00464
98,a-bu-tu₂,awātu[word]N,saao/sargonletters:P334835.15.3,akk.r0045e,akk.r00464
99,a-da,ada[(meaning unknown)]N,saao/sargonletters:P313575.49.3,akk.r0003e,akk.r0003e
100,a-da-ka-ni,adakanni[until now]AV,saao/sargonletters:X900015.28.2,akk.r0003f,akk.r00040
101,a-da-kan-ni,adakanni[until now]AV,saao/sargonletters:P334223.23.2,akk.r0003f,akk.r00041
102,a-da-kan-ni-ma,adakanni[until now]AV,saao/sargonletters:P334792.11.2,akk.r0003f,akk.r00042
103,a-du-na-kan-an-ni,adakanni[until now]AV,saao/sargonletters:P313576.6.4,akk.r0003f,akk.r00043
104,a-du-na-kan-ni,adakanni[until now]AV,saao/sargonletters:P334789.15.1,akk.r0003f,akk.r00044
105,a-da-ni-iš,adanniš[very much]AV,saao/sargonletters:X900009.17.7,akk.r00047,akk.r00048
106,a-da-niš,adanniš[very much]AV,saao/sargonletters:P334060.29.1,akk.r00047,akk.r00049
107,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P224485.22.2,akk.r00047,akk.r0004a
108,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P224485.8.2,akk.r00047,akk.r0004a
109,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313425.9.2,akk.r00047,akk.r0004a
110,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313444.21.2,akk.r00047,akk.r0004a
111,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313448.27.4,akk.r00047,akk.r0004a
112,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313451.8.5,akk.r00047,akk.r0004a
113,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313469.2.4,akk.r00047,akk.r0004a
114,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313469.2.5,akk.r00047,akk.r0004a
115,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313472.4.6,akk.r00047,akk.r0004a
116,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313491.12.1,akk.r00047,akk.r0004a
117,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313491.18.5,akk.r00047,akk.r0004a
118,a-dan-niš,adanniš[very much]AV,saao/sargonletters:P313491.19.4,akk.r00047,akk.r0004a
