,form1,form1_c,form2,form2_c,form_base,str_part,total_mixed
0,{KUR}ar-pa-a.a,2,{KUR}ar₂-pa-a.a,1,{KUR}ar-pa-a.a,ar,2
1,ar-hiš,1,ar₂-hiš,9,ar-hiš,ar,9
2,{URU}ar-pad-da,1,{URU}ar₂-pad-da,2,{URU}ar-pad-da,ar,2
3,šad-daq-diš,1,šad-daq₃-diš,1,šad-daq-diš,daq,1
4,e-gir-te,2,e-gir₂-te,2,e-gir-te,gir,4
5,e-gir-tu₂,2,e-gir₂-tu₂,13,e-gir-tu₂,gir,26
6,EN-ia,218,EN-ia₂,52,EN-ia,ia,11336
7,be-li₂-ia,43,be-li₂-ia₂,33,be-li₂-ia,ia,1419
8,{LU₂}A-šip-ri-ia,4,{LU₂}A-šip-ri-ia₂,2,{LU₂}A-šip-ri-ia,ia,8
9,{URU}kal-ha,18,{URU}kal₃-ha,1,{URU}kal-ha,kal,18
10,{KUR}ha-lah₂-hi,1,{KUR}ha-lah₃-hi,1,{KUR}ha-lah-hi,lah,1
11,be-li,6,be-li₂,135,be-li,li,810
12,mi-i-nu,11,mi₃-i-nu,1,mi-i-nu,mi,11
13,mi-nu,6,mi₃-nu,3,mi-nu,mi,18
14,mi-i-ni,5,mi₃-i-ni,2,mi-i-ni,mi,10
15,mi-ni,1,mi₃-ni,2,mi-ni,mi,2
16,pil-ki,1,pil₂-ki,1,pil-ki,pil,1
17,lip-qi-du,1,lip-qi₂-du,1,lip-qi-du,qi,1
18,an-nu-rig,61,an-nu-rig₂,1,an-nu-rig,rig,61
19,at-tu-nu,5,at-tu₂-nu,1,at-tu-nu,tu,5
20,a-bu-tu,2,a-bu-tu₂,1,a-bu-tu,tu,2
21,an-ni-tu,2,an-ni-tu₂,10,an-ni-tu,tu,20
22,ia-mu-tu,2,ia-mu-tu₂,1,ia-mu-tu,tu,2
23,tu,2,tu₂,5,tu,tu,10
24,šu-tu-ni,2,šu-tu₂-ni,1,šu-tu-ni,tu,2
25,hu-ub-tu,1,hu-ub-tu₂,1,hu-ub-tu,tu,1
26,i-ma-tu-hu,1,i-ma-tu₂-hu,1,i-ma-tu-hu,tu,1
27,ia-mut-tu,1,ia-mut-tu₂,1,ia-mut-tu,tu,1
28,li-in-tu-hu,1,li-in-tu₂-hu,1,li-in-tu-hu,tu,1
29,x+x-tu,1,x+x-tu₂,1,x+x-tu,tu,1
30,x-tu,1,x-tu₂,4,x-tu,tu,4
31,{LU₂}pa-ha-tu-u₂-tu₂,1,{LU₂}pa-ha-tu-u₂-tu₂,1,{LU₂}pa-ha-tu-u₂-tu,tu,1
32,šu-u-tu,1,šu-u-tu₂,9,šu-u-tu,tu,9
33,ša,784,ša₂,22,ša,ša,17248
34,ep-ša,2,ep-ša₂,2,ep-ša,ša,4
35,{LU₂}ša-UGU-URU,1,{LU₂}ša₂-UGU-URU,3,{LU₂}ša-UGU-URU,ša,3
36,{URU}ša-bi-ri-šu₂,1,{URU}ša₂-bi-ri-šu₂,1,{URU}ša-bi-ri-šu₂,ša,1
37,ša-ʾa-al,1,ša₂-ʾa-al,1,ša-ʾa-al,ša,1
38,šu-nu,15,šu₂-nu,8,šu-nu,šu,120
39,la-aš₂-šu,4,la-aš₂-šu₂,10,la-aš₂-šu,šu,40
40,šu-u,4,šu₂-u,10,šu-u,šu,40
41,šu,3,šu₂,4,šu,šu,12
42,E₂-šu,2,E₂-šu₂,4,E₂-šu,šu,8
43,e-mu-qe-e-šu,2,e-mu-qe-e-šu₂,1,e-mu-qe-e-šu,šu,2
44,e-pu-šu,2,e-pu-šu₂,3,e-pu-šu,šu,6
45,i-si-šu-nu,2,i-si-šu₂-nu,11,i-si-šu-nu,šu,22
46,la-a-šu,2,la-a-šu₂,8,la-a-šu,šu,16
47,le-pu-šu,2,le-pu-šu₂,3,le-pu-šu,šu,6
48,liš-al-šu,2,liš-al-šu₂,1,liš-al-šu,šu,2
49,pa-ni-šu,2,pa-ni-šu₂,2,pa-ni-šu,šu,4
50,šu-tu₂,2,šu₂-tu₂,1,šu-tu₂,šu,2
51,IGI.2-MEŠ-šu,1,IGI.2-MEŠ-šu₂,1,IGI.2-MEŠ-šu,šu,1
52,KUR-šu,1,KUR-šu₂,3,KUR-šu,šu,3
53,UGU-hi-šu,1,UGU-hi-šu₂,5,UGU-hi-šu,šu,5
54,URU-šu,1,URU-šu₂,1,URU-šu,šu,1
55,a-sa-al-šu,1,a-sa-al-šu₂,3,a-sa-al-šu,šu,3
56,a-sa-ʾa-al-šu,1,a-sa-ʾa-al-šu₂,3,a-sa-ʾa-al-šu,šu,3
57,e-pa-šu-u-ni,1,e-pa-šu₂-u-ni,1,e-pa-šu-u-ni,šu,1
58,e-tap-šu,1,e-tap-šu₂,5,e-tap-šu,šu,5
59,gab-bi-šu,1,gab-bi-šu₂,1,gab-bi-šu,šu,1
60,is-si-šu,1,is-si-šu₂,2,is-si-šu,šu,2
61,pa-ni-šu-nu,1,pa-ni-šu₂-nu,6,pa-ni-šu-nu,šu,6
62,pi-i-šu,1,pi-i-šu₂,2,pi-i-šu,šu,2
63,u₂-de-e-šu,1,u₂-de-e-šu₂,1,u₂-de-e-šu,šu,1
64,x+x-šu-nu,1,x+x-šu₂-nu,2,x+x-šu-nu,šu,2
65,x-šu-nu,1,x-šu₂-nu,6,x-šu-nu,šu,6
66,ŠA₃-bi-šu,1,ŠA₃-bi-šu₂,1,ŠA₃-bi-šu,šu,1
67,ŠEŠ-šu,1,ŠEŠ-šu₂,2,ŠEŠ-šu,šu,2
68,šub-ti-šu,1,šub-ti-šu₂,2,šub-ti-šu,šu,2
69,šum-ma,9,šum₂-ma,17,šum-ma,šum,153
70,iq-ṭi-bu-u-ni,3,iq-ṭi₂-bu-u-ni,2,iq-ṭi-bu-u-ni,ṭi,6
71,aq-ṭi-ba-šu₂,1,aq-ṭi₂-ba-šu₂,1,aq-ṭi-ba-šu₂,ṭi,1
72,aq-ṭi-bi,1,aq-ṭi₂-bi,5,aq-ṭi-bi,ṭi,5
73,iq-ṭi-bi,1,iq-ṭi₂-bi,5,iq-ṭi-bi,ṭi,5
74,u₂-ṣu-u,2,u₂-ṣu-u,2,u₂-ṣu-u,u1,4
75,u₂-ba-u-ni,1,u₂-ba-u-ni,1,u₂-ba-u-ni,u1,1
76,u₂-bal-u-ni,1,u₂-bal-u-ni,1,u₂-bal-u-ni,u1,1
77,u₂-bi-lu-šu₂-u-ni,1,u₂-bi-lu-šu₂-u-ni,1,u₂-bi-lu-šu₂-u-ni,u1,1
78,u₂-gam-ma-ru-u-ni,1,u₂-gam-ma-ru-u-ni,1,u₂-gam-ma-ru-u-ni,u1,1
79,u₂-na-ka-ar₂-u-ni,1,u₂-na-ka-ar₂-u-ni,1,u₂-na-ka-ar₂-u-ni,u1,1
80,u₂-nam-maš-u-ni,1,u₂-nam-maš-u-ni,1,u₂-nam-maš-u-ni,u1,1
81,u₂-pa-hi-ir-u-ni,1,u₂-pa-hi-ir-u-ni,1,u₂-pa-hi-ir-u-ni,u1,1
82,u₂-ra-mu-u,1,u₂-ra-mu-u,1,u₂-ra-mu-u,u1,1
83,u₂-ra-mu-u-x,1,u₂-ra-mu-u-x,1,u₂-ra-mu-u-x,u1,1
84,u₂-ta-ni-šu₂-u-ni,1,u₂-ta-ni-šu₂-u-ni,1,u₂-ta-ni-šu₂-u-ni,u1,1
85,u₂-še-bi-lu-u-ni,1,u₂-še-bi-lu-u-ni,1,u₂-še-bi-lu-u-ni,u1,1
86,u₂-še-rib-u-ni,1,u₂-še-rib-u-ni,1,u₂-še-rib-u-ni,u1,1
87,u₂-ṣal-lu-u,1,u₂-ṣal-lu-u,2,u₂-ṣal-lu-u,u1,2
