,a,b,break,cf,epos,f,file,form,frag,gw,line_label,m,norm,pos,ref,sense,sign_loc_id,text_id,word_num,word_sign_tot,sign_form,mods_str,str_part,num_part,combined,dossier
1123,,a,,ana,PRP,,P237089.json,a-na,a-na,to,o 1,,ana,PRP,P237089.2.1,to,P237089.2.1.0,P237089,1,2,A,..,a,1,A:..,SAA15.01.01.a
1124,,na,,ana,PRP,,P237089.json,a-na,a-na,to,o 1,,ana,PRP,P237089.2.1,to,P237089.2.1.1,P237089,1,2,NA,..,na,1,NA:..,SAA15.01.01.a
1125,,LUGAL,,šarru,N,,P237089.json,LUGAL,LUGAL,king,o 1,,šarri,N,P237089.2.2,king,P237089.2.2.0,P237089,2,1,LUGAL,..,LUGAL,1,LUGAL:..,SAA15.01.01.a
1126,,be,,bēlu,N,,P237089.json,be-li₂-ia₂,be-li₂-ia₂,lord,o 1,,bēlīya,N,P237089.2.3,lord,P237089.2.3.0,P237089,3,3,BAD,..,be,1,BAD:..,SAA15.01.01.a
1127,,li₂,,bēlu,N,,P237089.json,be-li₂-ia₂,be-li₂-ia₂,lord,o 1,,bēlīya,N,P237089.2.3,lord,P237089.2.3.1,P237089,3,3,NI,..,li,2,NI:..,SAA15.01.01.a
1128,,ia₂,,bēlu,N,,P237089.json,be-li₂-ia₂,be-li₂-ia₂,lord,o 1,,bēlīya,N,P237089.2.3,lord,P237089.2.3.2,P237089,3,3,5(DIŠ),..,ia,2,5(DIŠ):..,SAA15.01.01.a
1129,,ARAD,,ardu,N,,P237089.json,ARAD-ka,ARAD-ka,slave,o 2,,urdaka,N,P237089.3.1,servant,P237089.3.1.0,P237089,4,2,ARAD,..,ARAD,1,ARAD:..,SAA15.01.01.a
1130,,ka,,ardu,N,,P237089.json,ARAD-ka,ARAD-ka,slave,o 2,,urdaka,N,P237089.3.1,servant,P237089.3.1.1,P237089,4,2,KA,..,ka,1,KA:..,SAA15.01.01.a
1131,,1(diš),,Issar-duri,PN,,P237089.json,{1}{d}15-du-ri,{1}{d}15-du-ri,1,o 2,,Issar-duri,PN,P237089.3.2,1,P237089.3.2.0,P237089,5,5,DIŠ,..,1(diš),1,DIŠ:..,SAA15.01.01.a
1132,,d,,Issar-duri,PN,,P237089.json,{1}{d}15-du-ri,{1}{d}15-du-ri,1,o 2,,Issar-duri,PN,P237089.3.2,1,P237089.3.2.1,P237089,5,5,AN,..,d,1,AN:..,SAA15.01.01.a
1133,,1(u) 5(diš),damaged,Issar-duri,PN,,P237089.json,{1}{d}15-du-ri,{1}{d}15-du-ri,1,o 2,,Issar-duri,PN,P237089.3.2,1,P237089.3.2.2,P237089,5,5,?,..,1(u) 5(diš),1,?:..,SAA15.01.01.a
1134,,du,,Issar-duri,PN,,P237089.json,{1}{d}15-du-ri,{1}{d}15-du-ri,1,o 2,,Issar-duri,PN,P237089.3.2,1,P237089.3.2.3,P237089,5,5,DU,..,du,1,DU:..,SAA15.01.01.a
1135,,ri,,Issar-duri,PN,,P237089.json,{1}{d}15-du-ri,{1}{d}15-du-ri,1,o 2,,Issar-duri,PN,P237089.3.2,1,P237089.3.2.4,P237089,5,5,RI,..,ri,1,RI:..,SAA15.01.01.a
1136,,lu,damaged,lū,MOD,,P237089.json,lu-u,⸢lu⸣-u,may,o 3,,lū,MOD,P237089.4.1,may,P237089.4.1.0,P237089,6,2,LU,..,lu,1,LU:..,SAA15.01.01.a
1137,,u,,lū,MOD,,P237089.json,lu-u,⸢lu⸣-u,may,o 3,,lū,MOD,P237089.4.1,may,P237089.4.1.1,P237089,6,2,U,..,u,1,U:..,SAA15.01.01.a
