combined	var_all	var_sender	ccount
A:..	0.0016899249333769926	0.04436414623997777	8489
A:.d.	0.0016899249333769918	0.04436414623997776	10
AB@g:..	0.24000000000000005	0.0	3
AB@g:.m.	0.16000000000000006	0.0	1
AB@g:.p.	0.16000000000000003	0.0	1
AB₂:..	0.01922337562475971	0.22222222222222224	59
AB₂:.d.	0.019223375624759707	0.22222222222222224	1
AK:..	0.15458639918051711	3.1371109228004928	153
AK:.d.	0.1016910972606956	1.9311517499156527	21
AK:.dt.	0.006535664819944598	0.22222222222222224	1
AK:.t.	0.05180006107648507	1.0694530753477862	16
AK:.td.	0.01934729916897507	0.30362721068819687	4
AL:..	0.11795340490351502	2.9537895497960434	195
AL:.d.	0.08436205716393401	1.8981868406053712	32
AL:.dt.	0.0037256925603186258	0.07521004801097395	4
AL:.t.	0.03396214370072456	0.9584876543209877	7
AL:.y.	0.0056177982061348915	0.0	1
ALEPH:..	0.010956300215559477	0.17719467401285588	273
ALEPH:.m.	0.00032893815962599024	0.01388888888888889	1
ALEPH:.p.	0.010658156266621872	0.163305785123967	3
AMAR:..	0.004097222222222223	0.0625	78
AMAR:.p.	0.004097222222222223	0.0625	1
ANŠE:..	0.21010203031918379	3.1017661179698215	121
ANŠE:.d.	0.18165480521342828	2.5176611796982167	47
ANŠE:.dm.	0.001010015991919872	0.024691358024691357	1
ANŠE:.m.	0.011278511909771905	0.21219135802469136	2
ANŠE:.p.	0.00909014392727885	0.0	1
ANŠE:.t.	0.018011951855904384	0.4722222222222222	3
ANŠE:.tm.	0.00909014392727885	0.09876543209876543	3
ANŠE:.y.	0.018909743848722047	0.16666666666666669	3
APIN:..	0.06222222222222222	0.0	17
APIN:.m.	0.06222222222222223	0.0	1
ARAD:..	0.04526758134318992	1.507041851257926	580
ARAD:.d.	0.004225666990991334	0.2488697014939002	3
ARAD:.m.	0.002008023999125538	0.109375	1
ARAD:.p.	0.039628560542778246	1.1748388164306927	28
A₂:..	0.030013226666666663	1.0018023960908464	405
A₂:.d.	0.005936	0.14797909521935496	4
A₂:.m.	0.015966026666666668	0.5168788564270469	6
A₂:.p.	0.008899999999999998	0.41694444444444445	3
BA:..	0.18204959638940374	5.27308469217126	403
BA:.d.	0.009480425683730562	0.4485487528344671	4
BA:.p.	0.0029411508775593663	0.06632653061224487	1
BA:.t.	0.16903969296782623	5.323099489898585	122
BA:.td.	0.003667736967133944	0.08807672686460565	3
BA:.y.	0.009249953349595713	0.18282923122952885	5
BAD:..	0.0036297158934442807	0.2775	1353
BAD:.d.	0.0018181757857472268	0.09000000000000001	3
BAD:.m.	0.0018181757857472268	0.1875	1
BAL:..	0.04604578563995838	0.6597222222222222	70
BAL:.d.	0.031217481789802295	0.4722222222222222	2
BAL:.t.	0.015868886576482836	0.1875	1
BARA₂:..	0.056874999999999995	0.1875	24
BARA₂:.d.	0.011874999999999998	0.0	1
BARA₂:.t.	0.047499999999999994	0.1875	2
BI:..	0.00642799532968767	0.11604447311356036	1118
BI:.d.	0.005933654092463274	0.08858284460159367	5
BI:.p.	0.0004807674459183031	0.02734375	1
BI:.y.	3.0047965369893937e-05	0.00024795135275754426	1
