,sign_loc_id,sign_form,f,a,m,b,frag,text_id
17474,P313511.10.5.0,A,d,,,a,a\d-di,P313511
17514,P313511.17.2.0,A,d,,,a,a\d-na,P313511
17537,P313511.21.1.2,A,d,,,a,be₂-ta\p-a\d-ti\t-šu₂-nu,P313511
17544,P313511.22.1.3,A,d,,,a,pa-da\y-ka-a\d-ti\t-šu₂-nu,P313511
17555,P313511.24.2.1,A,d,,,a,ia-a\d-ši,P313511
17573,P313511.27.1.1,A,d,,,a,⸢la⸣-a\d,P313511
17579,P313511.28.1.1,A,d,,,a,⸢la⸣-a\d,P313511
48045,P313874.8.1.2,A,d,,,a,[u₂]-ma-a\d,P313874
62726,P314230.9.6.0,A,d,,,A,A\d-MEŠ,P314230
62732,P314230.10.2.3,A,d,,,a,E₂]—⸢mar⸣-di-a\d-te,P314230
132149,P334703.28.1.0,AB@g,m,,,UNUG,UNUG\m{ki},P334703
47933,P313872.10.7.0,AB@g,p,,,UNUG,UNUG\p{kiy},P313872
111216,P334386.45.1.0,AB₂,d,,,lid,lid\d-bu-bu,P334386
1379,P313416.12.2.2,AK,d,,,ak,nar-ma-ak\d-tu₂,P313416
3932,P313435.3.2.2,AK,d,,,AG,{1}{d}AG\d—pa-šir,P313435
7017,P313452.59.4.3,AK,d,,,ak,⸢ta-ta⸣-ba\t-ak\d,P313452
7026,P313452.60.1.2,AK,d,,,ak,i-du-ak\d-[ši],P313452
7901,P313458.3.6.1,AK,d,,,AG,{d}AG\d,P313458
14080,P313496.20.1.3,AK,d,,,ak,[a]-ta-ba-ak\d,P313496
33941,P313716.8.1.0,AK,d,,,aq,aq\d-ṭi-⸢ba⸣-[aš₂-šu₂-nu],P313716
45849,P313844.9.3.0,AK,d,,,ak,ak\d-⸢ta⸣-[x,P313844
49930,P313897.5.2.1,AK,d,,,ak,da-ak\d-ki-šu₂-[nu],P313897
53535,P313980.14.6.1,AK,d,,,ak,x]-ak\d,P313980
60253,P314140.9.1.1,AK,d,,,ak,la-ak\d-⸢la⸣,P314140
62488,P314223.13.6.0,AK,d,,,ak,ak\d-[ta-ra-ar₂],P314223
65393,P314254.6.2.2,AK,d,,,AG,{1}{d}AG\d—[x,P314254
71944,P314328.7.1.1,AK,d,,,aq,ma-aq\d-tu-ti,P314328
85692,P334124.19.1.0,AK,d,,,ak,ak\d-ta-nak,P334124
