,sign_form,f,a,m,all_locs,count
0,A,d,,,"P313511.10.5.0 (b.e. 7'),P313511.17.2.0 (r 6),P313511.21.1.2 (r 10),P313511.22.1.3 (r 11),P313511.24.2.1 (r 13),P313511.27.1.1 (r 16),P313511.28.1.1 (r 17),P313874.8.1.2 (r 1'),P314230.9.6.0 (o 7'),P314230.10.2.3 (o 8')",10
1,AB@g,m,,,P334703.28.1.0 (r 6),1
2,AB@g,p,,,P313872.10.7.0 (o 8'),1
3,AB₂,d,,,P334386.45.1.0 (e. 1),1
4,AK,d,,,"P313416.12.2.2 (o 11),P313435.3.2.2 (o 2),P313452.59.4.3 (r 24),P313452.60.1.2 (r 25),P313458.3.6.1 (o 2),P313496.20.1.3 (r 3'),P313716.8.1.0 (o 6'),P313844.9.3.0 (o 7'),P313897.5.2.1 (o 3'),P313980.14.6.1 (o 13),P314140.9.1.1 (o 7'),P314223.13.6.0 (r 5'),P314254.6.2.2 (o 4'),P314328.7.1.1 (r 1),P334124.19.1.0 (r 5),P334443.3.2.2 (o 2),P334586.7.2.1 (o 4),P334586.14.1.0 (o 11),P334729.20.1.0 (r 4'),P334806.8.1.0 (o 7),P334820.32.1.2 (r 6)",21
5,AK,dt,,,P334351.11.1.1 (o 10),1
6,AK,t,,,"P313434.13.1.2 (o 12),P313625.20.4.0 (r 7),P313646.10.1.2 (o 8'),P313723.8.3.0 (o 7),P313810.11.2.2 (o 10),P313814.9.6.2 (o 8),P313814.76.10.0 (r 32),P314287.4.3.0 (o 2'),P334080.25.1.0 (r 5),P334080.29.1.0 (r 9),P334187.26.1.2 (b.e. 24),P334223.20.1.2 (r 3'),P334279.21.4.3 (o 20),P334519.16.4.3 (r 5'),P334586.44.2.1 (r 17'),P334607.38.2.0 (r 17),P334916.5.4.2 (o 4)",17
7,AK,td,,,"P334143.61.3.0 (r 23),P334143.61.3.3 (r 23),P334665.3.2.5 (o 2),P334861.6.3.1 (o 5)",4
8,AL,d,,,"P313543.12.1.2 (o 10'),P313543.20.1.1 (r 3),P313543.20.3.1 (r 3),P313543.25.5.1 (r 8),P313571.6.1.2 (o 4'),P313655.6.4.0 (o 4'),P314068.16.1.1 (b.e. 13'),P334037.10.2.3 (o 9),P334048.15.10.2 (o 14),P334055.8.4.2 (o 7),P334077.5.2.1 (o 4),P334077.8.5.0 (o 7),P334077.11.1.2 (o 10),P334090.19.2.2 (o 18),P334090.28.1.3 (r 1),P334090.30.3.1 (r 3),P334090.33.1.3 (r 6),P334111.15.1.2 (b.e. 13),P334179.7.3.1 (o 6),P334308.11.2.1 (o 10),P334314.11.3.3 (o 10),P334314.23.1.3 (r 2),P334333.12.2.0 (o 11),P334344.11.4.0 (o 10),P334344.16.2.2 (o 15),P334369.22.1.1 (o 21),P334499.19.2.2 (b.e. 17),P334583.15.2.2 (r 1),P334674.28.1.1 (r.e. 12),P334847.20.5.2 (o 19),P334847.51.8.1 (r 17),P337150.31.4.1 (r 9)",32
9,AL,dt,,,"P313504.18.3.2 (o 17),P334077.51.7.0 (r 18),P334198.22.1.2 (r 8'),P334199.12.2.1 (o 11)",4
