,text_id,b,sign_loc_id,f,a,m,form,frag,ref,break,cf,gw,pos,epos,sense,line_label
4,P224485,na,P224485.2.3.1,t,,,a-na,a-na\t,P224485.2.3,,ana,to,PRP,PRP,to,o 1
18,P224485,na,P224485.3.2.1,t,,,a-na,a-na\t,P224485.3.2,,ana,to,PRP,PRP,to,o 2
36,P224485,LU₂,P224485.4.4.0,,v,,{LU₂}A-šip-ri,{lu₂v}A—šip-⸢ri⸣,P224485.4.4,,māru,son,N,N,son,o 3
61,P224485,MEŠ,P224485.5.7.1,m,,,ERIM-MEŠ,ERIM-MEŠ\m,P224485.5.7,,ṣābu,people,N,N,troops,o 4
73,P224485,na,P224485.6.4.1,t,,,a-na,a-na\t,P224485.6.4,,ana,to,PRP,PRP,for,o 5
74,P224485,LU₂,P224485.6.5.0,,v,,{LU₂}šap-ru-te,{lu₂v}šap-ru-te,P224485.6.5,,šapru,envoy,N,N,envoy,o 5
79,P224485,na,P224485.7.1.1,t,,,a-na,a-na\t,P224485.7.1,,ana,to,PRP,PRP,to,o 6
81,P224485,URI,P224485.7.2.1,d,,,{KUR}URI,{kur}URI\d,P224485.7.2,,Urarṭu,1,GN,GN,1,o 6
104,P224485,rig,P224485.8.3.2,t,,,an-nu-rig,an-nu-rig\t,P224485.8.3,,annûri,now,AV,AV,now,o 7
114,P224485,MEŠ,P224485.9.2.1,m,,,DINGIR-MEŠ-ia,DINGIR-MEŠ\m-ia,P224485.9.2,,ilu,god,N,N,god,o 8
143,P224485,na,P224485.10.3.4,t,,,it-ta-an-na-na-ši,it-ta-an-na-na\t-ši,P224485.10.3,,tadānu,give,V,V,give,o 9
154,P224485,ša,P224485.11.4.0,d,,,ša,ša\d,P224485.11.4,,ša,that,REL,REL,what,o 10
165,P224485,li₂,P224485.12.4.1,d,,,be-li₂-ia,be-li₂\d-ia,P224485.12.4,,bēlu,lord,N,N,lord,o 11
167,P224485,LU₂,P224485.12.5.0,,v,,{LU₂}A-šip-ri-ia,{lu₂v}A—šip-ri-ia,P224485.12.5,,māru,son,N,N,son,o 11
193,P224485,LU₂,P224485.14.2.0,,v,,{LU₂}A-šip-ri-ka,{lu₂v}A—šip-ri-ka,P224485.14.2,,māru,son,N,N,son,o 13
198,P224485,TA,P224485.14.3.0,m,,v,TA@v,TA@v\m,P224485.14.3,,ištu,from,PRP,PRP,from,o 13
211,P224485,dib,P224485.15.4.0,m,,,dib-bi,dib\m-bi,P224485.15.4,,dibbu,words,N,N,words,o 14
215,P224485,MEŠ,P224485.15.5.2,m,,,DUG₃.GA-MEŠ,DUG₃.GA-MEŠ\m,P224485.15.5,,ṭābu,good,AJ,AJ,good,o 14
228,P224485,ša,P224485.16.3.0,dd,,,ša,ša\dd,P224485.16.3,,ša,that,REL,REL,that,o 15
257,P224485,MEŠ,P224485.17.7.1,m,,,ARAD-MEŠ,ARAD-MEŠ\m,P224485.17.7,,ardu,slave,N,N,servant,o 16
299,P224485,šar,P224485.19.5.2,m,,,ip-pa-šar,ip-pa-šar\m,P224485.19.5,,pašāru,release,V,V,relent,o 18
304,P224485,MEŠ,P224485.19.9.1,m,,,ARAD-MEŠ-šu₂,⸢ARAD⸣-MEŠ\m-⸢šu₂⸣,P224485.19.9,,ardu,slave,N,N,servant,o 18
318,P224485,MEŠ,P224485.20.5.1,m,,,ERIM-MEŠ,ERIM-MEŠ\m,P224485.20.5,,ṣābu,people,N,N,troops,o 19
324,P224485,ša,P224485.20.7.0,md,,,ša,ša\md,P224485.20.7,,ša,that,REL,REL,who,o 19
338,P224485,as,P224485.21.6.0,td,,,as-sap-par,as\td-sap-par,P224485.21.6,,šapāru,send,V,V,send,o 20
372,P224485,mus,P224485.23.5.1,t,,,{KUR}mus-ka-a.a,{kur}mus\t-⸢ka⸣-[a.a,P224485.23.5,,Muskaya,Phrygian,EN,EN,Phrygian,o 22
405,P224485,MEŠ,P224485.25.4.1,m,,,ERIM-MEŠ,ERIM-MEŠ\m,P224485.25.4,,ṣābu,people,N,N,troops,o 24
413,P224485,ša,P224485.26.4.0,d,,,ša,ša\d,P224485.26.4,,ša,of,DET,DET,of,o 25
430,P224485,LU₂,P224485.27.4.0,,v,,{LU₂}A-šip-ri,{lu₂v}A—šip-ri,P224485.27.4,,māru,son,N,N,son,o 26
434,P224485,ša,P224485.27.5.0,md,,,ša,ša\md,P224485.27.5,,ša,of,DET,DET,of,o 26
439,P224485,TA,P224485.28.1.0,m,,v,TA@v,TA@v\m,P224485.28.1,,išti,with,PRP,PRP,with,o 27
440,P224485,LU₂,P224485.28.2.0,,v,,{LU₂}A-šip-ri,{lu₂v}A—šip-ri,P224485.28.2,,māru,son,N,N,son,o 27
445,P224485,mus,P224485.28.3.1,t,,,{KUR}mus-ka-a.a,{kur}mus\t-ka-a.a,P224485.28.3,,Muskaya,Phrygian,EN,EN,Phrygian,o 27
460,P224485,lil,P224485.29.2.0,p,,,lil-li-ka,lil\p-li-ka,P224485.29.2,,alāku,go,V,V,come,o 28
475,P224485,MEŠ,P224485.30.2.1,m,,,LUGAL-MEŠ-ni,LUGAL-MEŠ\m-ni,P224485.30.2,,šarru,king,N,N,king,o 29
480,P224485,ti,P224485.30.3.3,t,,,ha-an-nu-ti,ha-an-nu-ti\t,P224485.30.3,,annû,this,DP,DP,this,o 29
485,P224485,TA,P224485.30.5.0,,,v,TA@v,TA@v,P224485.30.5,,išti,with,PRP,PRP,with,o 29
496,P224485,šak,P224485.31.2.1,t,,,lu-šak-ki-lu,lu-šak\t-ki-lu,P224485.31.2,,šakkulu,wipe,V,V,wipe,o 30
523,P224485,di,P224485.33.3.1,d,,,lid-di-nu-ni,lid-di\d-nu-ni,P224485.33.3,,tadānu,give,V,V,give,o 32
544,P224485,ti,P224485.34.4.2,t,,,ta-at-ti-din,ta-⸢at⸣-ti\t-din\d,P224485.34.4,,tadānu,give,V,V,give,o 33
545,P224485,din,P224485.34.4.3,d,,,ta-at-ti-din,ta-⸢at⸣-ti\t-din\d,P224485.34.4,,tadānu,give,V,V,give,o 33
548,P224485,na,P224485.35.2.1,t,,,a-na,a-na\t,P224485.35.2,,ana,to,PRP,PRP,to,o 34
559,P224485,ma,P224485.36.1.2,d,,,at-ta-ma,at-ta-ma\d,P224485.36.1,,atta,you,IP,IP,you,o 35
565,P224485,LU₂,P224485.36.5.0,,v,,{LU₂}pa-ha-tu-u₂-tu₂,{lu₂v}pa-ha-tu-⸢u₂-tu₂⸣,P224485.36.5,,pīhātūtu,provincial governorship,N,N,provincial governorship,o 35
580,P224485,qi,P224485.37.3.0,m,,,qi-ba-aš₂-šu₂,qi\m-ba-aš₂-šu₂,P224485.37.3,,qabû,say,V,V,say,o 36
594,P224485,TA,P224485.38.1.0,,,v,TA@v,⸢TA@v⸣,P224485.38.1,damaged,ištu,from,PRP,PRP,from,o 37
611,P224485,mus,P224485.39.1.1,t,,,{KUR}mus-ka-a.a,{⸢kur⸣}mus\t-ka-a.a,P224485.39.1,,Muskaya,Phrygian,EN,EN,Phrygian,o 38
625,P224485,TA,P224485.41.3.0,m,,v,TA@v,TA@v\m,P224485.41.3,,ištu,from,PRP,PRP,from,r 39
646,P224485,MEŠ,P224485.42.6.1,m,,,NINDA-MEŠ-ka,NINDA-MEŠ\m-ka,P224485.42.6,,kusāpu,bread,N,N,bread,r 40
669,P224485,TA,P224485.44.3.0,m,,v,TA@v,TA@v\m,P224485.44.3,,ištu,from,PRP,PRP,from,r 42
673,P224485,mus,P224485.44.5.1,t,,,{KUR}mus-ka-a.a,{kur}⸢mus\t⸣-ka-a.a,P224485.44.5,damaged,Muskaya,Phrygian,EN,EN,Phrygian,r 42
710,P224485,u₂,P224485.46.2.2,m,,,il-lik-u₂-ni,il-lik-u₂\m-ni,P224485.46.2,,alāku,go,V,V,come,r 44
713,P224485,MEŠ,P224485.46.3.1,mm,,,URU-MEŠ-ni,⸢URU⸣-MEŠ\mm-ni,P224485.46.3,,ālu,city,N,N,town,r 44
730,P224485,TA,P224485.48.1.0,,,v,TA@v,⸢TA@v,P224485.48.1,damaged,ištu,from,PRP,PRP,from,r 46
745,P224485,mus,P224485.49.1.1,t,,,{KUR}mus-ka-a.a,{kur}⸢mus\t⸣-[ka-a].⸢a,P224485.49.1,damaged,Muskaya,Phrygian,EN,EN,Phrygian,r 47
762,P224485,ša,P224485.50.2.0,d,,,ša,ša\d,P224485.50.2,,ša,of,DET,DET,of,r 48
779,P224485,TA,P224485.51.3.0,m,,v,TA@v,TA@v\m,P224485.51.3,,ištu,from,PRP,PRP,from,r 49
787,P224485,TA,P224485.51.6.0,m,,v,TA@v,TA@v\m,P224485.51.6,,ištu,from,PRP,PRP,from,r 49
