,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu,ancient_author,designation,dossier,dossier_nocertain,saa_chap,senderloc
P224485,7.0,0.0,8.0,0.0,2.0,0.0,2.0,1.0,6.0,0.0,9.0,0.0,10.0,9.0,43.0,1.0,4.0,0.0,3.0,2.0,15.0,1.0,6.0,13.0,9.0,0.0,16.0,0.0,6.0,7.0,21.0,5.0,4.0,33.0,10.0,6.0,9.0,19.0,1.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,14.0,2.0,0.0,23.0,8.0,0.0,2.0,2.0,0.0,2.0,Sargon II,SAA 01 001,SAA01.01.01.a,SAA01.01.01,SAA01.01,Royal Court
P237089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Issar-duri,SAA 15 014,SAA15.01.01.a,SAA15.01.01,SAA15.01,Arrapha
P238649,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,(unknown),SAA 15 368,SAA15.09.07.c,SAA15.09.07,SAA15.09,uncertain
P313416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sin-ašared,SAA 01 158,SAA01.07.15.c,SAA01.07.15,SAA01.07,Assyria
P313417,0.0,3.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,5.0,9.0,19.0,0.0,0.0,1.0,0.0,2.0,14.0,0.0,4.0,0.0,5.0,0.0,7.0,0.0,1.0,0.0,18.0,0.0,8.0,0.0,0.0,2.0,0.0,16.0,0.0,8.0,5.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,Mannu-ki-Aššur-le’i,SAA 01 233,SAA01.13.01.c,SAA01.13.01,SAA01.13,Guzana
P313419,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,[...]-ka’’in,SAA 05 040,SAA05.02.03.a,SAA05.02.03,SAA05.02,Tušhan
P313420,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,5.0,0.0,6.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,Il-yada’,SAA 15 164,SAA15.06.01.a,SAA15.06.01,SAA15.06,Dur-Kurigalzu
P313421,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Šarru-emuranni,SAA 15 237,SAA15.07.01.a,SAA15.07.01,SAA15.07,Babylon
P313422,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Gabbu-ana-Aššur,SAA 05 114,SAA05.07.01.c,SAA05.07.01,SAA05.07,Kurbail
P313425,6.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,1.0,2.0,0.0,18.0,10.0,3.0,19.0,0.0,2.0,0.0,1.0,3.0,8.0,2.0,2.0,6.0,5.0,1.0,14.0,0.0,5.0,5.0,14.0,3.0,3.0,0.0,0.0,6.0,9.0,10.0,5.0,1.0,4.0,0.0,2.0,4.0,4.0,1.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,Bel-liqbi,SAA 01 179,SAA01.08.03.c,SAA01.08.03,SAA01.08,Zobah
P313427,0.0,0.0,5.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,3.0,2.0,1.0,5.0,0.0,9.0,10.0,1.0,0.0,7.0,1.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,Nabu-zer-ketti-lešir,SAA 01 152,SAA01.07.10.b,SAA01.07.10,SAA01.07,Assyria
P313434,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,2.0,0.0,3.0,2.0,1.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Nabu-belu-ka’’in,SAA 15 025,SAA15.02.01.a,SAA15.02.01,SAA15.02,Diyala region
P313435,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,Nabu-pašir,SAA 01 192,SAA01.09.04.a,SAA01.09.04,SAA01.09,Harran
P313437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Ṭab-šar-Aššur,SAA 01 062,SAA01.03.01.a,SAA01.03.01,SAA01.03,Royal Court
P313439,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,3.0,4.0,0.0,3.0,0.0,2.0,0.0,12.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,Aššur-šumu-ka’’in,SAA 01 150,SAA01.07.08.a,SAA01.07.08,SAA01.07,Assyria
P313442,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,3.0,4.0,2.0,0.0,3.0,7.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,(unknown),SAA 15 074,SAA15.03.06.c,SAA15.03.06,SAA15.03,"Parsua, Bit-Hamban, or Bit-Sangibuti"
P313444,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Il-yada’,SAA 15 172,SAA15.06.01.c,SAA15.06.01,SAA15.06,Dur-Kurigalzu
P313445,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Ṭab-šar-Aššur,SAA 05 290,SAA05.13.03.c,SAA05.13.03,SAA05.13,Royal Court
P313447,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,11.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,2.0,3.0,7.0,2.0,0.0,4.0,2.0,2.0,2.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Ṭab-šar-Aššur,SAA 01 056,SAA01.03.01.a,SAA01.03.01,SAA01.03,Royal Court
P313448,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0,7.0,0.0,0.0,3.0,7.0,0.0,1.0,6.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,Aššur-dur-paniya,SAA 05 056,SAA05.04.01.a,SAA05.04.01,SAA05.04,Rab Šaqê Province
P313450,0.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,1.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Gabbu-ana-Aššur,SAA 05 117,SAA05.07.01.c,SAA05.07.01,SAA05.07,Kurbail
P313451,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Sennacherib,SAA 05 281,SAA05.13.02.b,SAA05.13.02,SAA05.13,Royal Court
