ancient_author,aš,aš₂,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,Sin[1]DN:Sin:30,Sin[1]DN:Sin:{d}30,ana[to]PRP:ana:a-na,ana[to]PRP:ana:ana,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:NU,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,u[and]CNJ:u:u,u[and]CNJ:u:u₃,ša[of]DET:ša:ša,ša[of]DET:ša:ša₂,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu,šarru[king]N:šarru:LUGAL,šarru[king]N:šarru:MAN
(joined to SAA 08 475),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
(unassigned),4.0,41.0,52.0,10.0,42.0,30.0,72.0,154.0,77.0,205.0,58.0,38.0,180.0,147.0,140.0,35.0,76.0,67.0,55.0,36.0,39.0,21.0,7.0,0.0,17.0,7.0,107.0,28.0,46.0,65.0,1.0,3.0,55.0,0.0
Adad-šumu-uṣur,27.0,31.0,155.0,43.0,77.0,170.0,108.0,101.0,56.0,103.0,46.0,12.0,142.0,110.0,7.0,8.0,192.0,13.0,11.0,10.0,40.0,0.0,28.0,23.0,30.0,2.0,35.0,19.0,56.0,57.0,45.0,7.0,70.0,0.0
Adad-šumu-uṣur to the Crown Prince,1.0,0.0,6.0,1.0,1.0,8.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
"Adad-šumu-uṣur, Marduk-šakin-šumi",0.0,0.0,0.0,0.0,3.0,21.0,11.0,3.0,5.0,8.0,3.0,0.0,22.0,10.0,0.0,0.0,20.0,0.0,2.0,0.0,4.0,1.0,3.0,5.0,5.0,0.0,5.0,2.0,2.0,0.0,6.0,0.0,4.0,0.0
"Adad-šumu-uṣur, Marduk-šakin-šumi, Nabu-nadin-šumi",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Adad-šumu-uṣur, Nabu-mušeṣi, Issar-šumu-ereš",0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Adad-šumu-uṣur, Urad-Ea",2.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
"Adad-šumu-uṣur, Urad-Ea, Issar-šumu-ereš, Akkullanu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Ahheša of Uruk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,2.0,1.0,3.0,1.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0
Akkullanu,19.0,35.0,26.0,76.0,22.0,50.0,145.0,36.0,43.0,143.0,34.0,24.0,163.0,92.0,45.0,26.0,112.0,32.0,28.0,13.0,51.0,8.0,16.0,22.0,30.0,4.0,40.0,35.0,96.0,2.0,14.0,14.0,76.0,0.0
Ana-Nabu-atkal,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Aplaya,0.0,2.0,0.0,0.0,2.0,0.0,0.0,17.0,2.0,9.0,2.0,1.0,8.0,4.0,11.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,14.0,0.0,0.0,4.0,0.0
Aplaya of Borsippa to the Queen Mother,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
Aqaraya,0.0,2.0,6.0,0.0,3.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ašaredu the Older,1.0,2.0,0.0,0.0,2.0,0.0,0.0,51.0,3.0,29.0,1.0,4.0,10.0,23.0,17.0,0.0,12.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,31.0,1.0,0.0,5.0,0.0
Ašaredu the Younger,1.0,2.0,8.0,3.0,6.0,6.0,2.0,70.0,7.0,28.0,8.0,5.0,22.0,21.0,24.0,3.0,18.0,16.0,9.0,6.0,3.0,2.0,11.0,1.0,1.0,1.0,19.0,6.0,1.0,30.0,2.0,0.0,16.0,0.0
Aššur-naṣir,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aššur-šarrani,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Aššur-šumu-iddina,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
Ba[...],0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Babu-šumu-iddina of Calah,0.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
Balasi,3.0,25.0,74.0,1.0,11.0,21.0,72.0,50.0,58.0,60.0,25.0,27.0,77.0,82.0,28.0,19.0,88.0,8.0,20.0,10.0,47.0,9.0,7.0,12.0,20.0,2.0,11.0,0.0,40.0,13.0,14.0,1.0,35.0,0.0
"Balasi, Bamaya",0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
"Balasi, Nabu-ahhe-eriba",2.0,1.0,1.0,0.0,1.0,0.0,10.0,3.0,8.0,5.0,1.0,0.0,10.0,12.0,0.0,3.0,30.0,0.0,1.0,0.0,8.0,0.0,6.0,6.0,9.0,2.0,0.0,0.0,2.0,1.0,6.0,2.0,17.0,0.0
Bamaya,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,3.0,14.0,2.0,5.0,12.0,3.0,15.0,0.0,3.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Bani,0.0,0.0,6.0,0.0,3.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
Bel-ahhe-eriba,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Bel-ahhe-eriba, son of Labaši-ilu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
"Bel-le’i, descendant of Egibi",0.0,3.0,5.0,0.0,13.0,9.0,0.0,18.0,8.0,17.0,3.0,2.0,3.0,16.0,2.0,6.0,9.0,11.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0
Bel-naṣir,0.0,3.0,4.0,0.0,4.0,2.0,0.0,17.0,1.0,8.0,2.0,2.0,3.0,6.0,4.0,7.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,0.0,2.0,0.0
Bel-upahhir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bel-ušallim,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bel-ušezib,9.0,17.0,70.0,8.0,52.0,57.0,3.0,122.0,40.0,108.0,40.0,10.0,47.0,176.0,16.0,5.0,93.0,7.0,9.0,13.0,23.0,2.0,4.0,2.0,18.0,7.0,39.0,53.0,3.0,72.0,0.0,1.0,40.0,0.0
Bel-šuma-iškun,0.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,2.0,12.0,2.0,2.0,5.0,1.0,8.0,0.0,1.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0
Bulluṭu,0.0,2.0,4.0,0.0,1.0,1.0,17.0,4.0,5.0,21.0,3.0,6.0,17.0,12.0,19.0,2.0,9.0,7.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,2.0,8.0,1.0,15.0,0.0,0.0,0.0,4.0,0.0
"Esarhaddon to Adad-šumu-uṣur, Marduk-šakin-šumi",0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Esarhaddon to Urad-Gula,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Ikkaru,2.0,3.0,13.0,5.0,3.0,25.0,6.0,7.0,1.0,5.0,1.0,2.0,12.0,8.0,0.0,0.0,20.0,0.0,3.0,6.0,7.0,0.0,2.0,6.0,0.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,7.0,0.0
Issar-aha-[...],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Issar-nadin-apli of Arbela,0.0,0.0,20.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,5.0,0.0,8.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,7.0,0.0,0.0,0.0
Issar-šumu-ereš,2.0,28.0,92.0,10.0,74.0,15.0,144.0,66.0,49.0,119.0,47.0,33.0,192.0,123.0,41.0,11.0,144.0,15.0,22.0,26.0,40.0,6.0,26.0,9.0,23.0,7.0,58.0,20.0,76.0,13.0,13.0,13.0,64.0,2.0
Issar-šumu-ereš to the Queen Mother,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Issar-šumu-ereš, Adad-šumu-uṣur, Marduk-šakin-šumi",0.0,1.0,0.0,0.0,2.0,0.0,10.0,1.0,1.0,4.0,2.0,1.0,6.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0
"Issar-šumu-ereš, Urad-Ea,",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kudurru,4.0,8.0,14.0,2.0,5.0,9.0,1.0,22.0,7.0,20.0,11.0,3.0,11.0,31.0,0.0,1.0,24.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,4.0,1.0,8.0,4.0,1.0,10.0,0.0,0.0,10.0,0.0
Mar-Issar,9.0,40.0,22.0,132.0,36.0,58.0,204.0,39.0,36.0,109.0,40.0,27.0,209.0,109.0,2.0,7.0,150.0,1.0,16.0,28.0,39.0,0.0,5.0,47.0,28.0,8.0,35.0,68.0,134.0,0.0,19.0,0.0,7.0,54.0
