dossier,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu
SAA01.01.01.a,10.0,0.0,15.0,0.0,3.0,0.0,4.0,1.0,9.0,0.0,26.0,1.0,42.0,11.0,74.0,4.0,6.0,2.0,11.0,8.0,20.0,3.0,21.0,15.0,20.0,0.0,20.0,0.0,8.0,7.0,42.0,11.0,10.0,46.0,17.0,12.0,20.0,27.0,1.0,0.0,0.0,6.0,3.0,0.0,11.0,0.0,20.0,2.0,0.0,27.0,11.0,0.0,2.0,2.0,1.0,2.0
SAA01.01.01.b,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
SAA01.01.01.c,20.0,2.0,38.0,0.0,21.0,2.0,16.0,2.0,11.0,4.0,29.0,5.0,46.0,5.0,108.0,10.0,11.0,2.0,16.0,20.0,45.0,9.0,29.0,8.0,27.0,9.0,13.0,0.0,20.0,1.0,81.0,11.0,29.0,48.0,28.0,20.0,26.0,60.0,1.0,0.0,0.0,0.0,9.0,7.0,30.0,1.0,11.0,1.0,4.0,34.0,15.0,1.0,1.0,3.0,0.0,0.0
SAA01.02.01.a,6.0,4.0,22.0,0.0,9.0,0.0,20.0,1.0,1.0,0.0,25.0,0.0,51.0,2.0,58.0,1.0,7.0,4.0,1.0,7.0,19.0,13.0,19.0,5.0,39.0,0.0,34.0,1.0,1.0,6.0,49.0,4.0,17.0,30.0,4.0,24.0,22.0,38.0,1.0,2.0,14.0,5.0,6.0,2.0,7.0,2.0,11.0,1.0,1.0,56.0,12.0,0.0,0.0,0.0,13.0,12.0
SAA01.02.01.c,1.0,1.0,8.0,0.0,11.0,2.0,11.0,4.0,2.0,1.0,30.0,0.0,33.0,17.0,40.0,2.0,5.0,1.0,2.0,2.0,22.0,2.0,37.0,1.0,25.0,4.0,20.0,0.0,5.0,5.0,40.0,6.0,9.0,18.0,2.0,19.0,14.0,26.0,2.0,2.0,10.0,3.0,0.0,6.0,6.0,2.0,7.0,1.0,1.0,20.0,4.0,0.0,1.0,2.0,4.0,9.0
SAA01.03.01.a,9.0,9.0,8.0,3.0,4.0,6.0,24.0,14.0,7.0,6.0,34.0,0.0,75.0,1.0,115.0,4.0,3.0,7.0,12.0,12.0,19.0,3.0,32.0,3.0,26.0,2.0,53.0,0.0,11.0,34.0,73.0,7.0,3.0,35.0,8.0,14.0,18.0,27.0,18.0,1.0,21.0,16.0,11.0,6.0,13.0,1.0,19.0,0.0,1.0,33.0,19.0,4.0,1.0,1.0,19.0,0.0
SAA01.03.01.b,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,13.0,0.0,24.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,7.0,1.0,12.0,0.0,1.0,8.0,16.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,6.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0,5.0,0.0,1.0,0.0,5.0,0.0
SAA01.03.01.c,2.0,2.0,4.0,5.0,12.0,5.0,10.0,2.0,7.0,4.0,30.0,0.0,30.0,3.0,75.0,15.0,4.0,0.0,3.0,1.0,18.0,1.0,34.0,16.0,16.0,2.0,21.0,0.0,9.0,12.0,71.0,4.0,2.0,17.0,10.0,5.0,19.0,20.0,12.0,0.0,15.0,0.0,6.0,3.0,7.0,0.0,5.0,0.0,0.0,27.0,12.0,2.0,4.0,1.0,4.0,0.0
SAA01.04.01.a,12.0,0.0,39.0,0.0,5.0,3.0,39.0,1.0,15.0,5.0,49.0,0.0,50.0,70.0,79.0,0.0,9.0,0.0,4.0,12.0,30.0,5.0,49.0,5.0,64.0,0.0,57.0,23.0,27.0,4.0,72.0,15.0,13.0,36.0,5.0,25.0,28.0,37.0,3.0,16.0,46.0,1.0,2.0,8.0,10.0,7.0,23.0,4.0,0.0,43.0,15.0,0.0,0.0,4.0,33.0,0.0
SAA01.04.01.b,2.0,0.0,11.0,0.0,1.0,1.0,7.0,0.0,5.0,0.0,6.0,0.0,17.0,7.0,20.0,0.0,1.0,1.0,0.0,3.0,11.0,1.0,11.0,3.0,13.0,0.0,11.0,6.0,6.0,2.0,16.0,6.0,4.0,11.0,1.0,9.0,15.0,12.0,2.0,2.0,8.0,0.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,9.0,5.0,0.0,0.0,1.0,4.0,0.0
