dossier_nocertain,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu
SAA01.01.01,31.0,2.0,54.0,0.0,24.0,2.0,20.0,3.0,24.0,4.0,60.0,6.0,91.0,16.0,186.0,14.0,17.0,4.0,28.0,30.0,66.0,13.0,51.0,23.0,47.0,9.0,33.0,0.0,34.0,8.0,125.0,22.0,39.0,96.0,45.0,34.0,48.0,90.0,2.0,0.0,0.0,6.0,12.0,7.0,42.0,1.0,31.0,3.0,4.0,62.0,27.0,1.0,3.0,5.0,1.0,2.0
SAA01.02.01,7.0,5.0,30.0,0.0,20.0,2.0,31.0,5.0,3.0,1.0,55.0,0.0,84.0,19.0,98.0,3.0,12.0,5.0,3.0,9.0,41.0,15.0,56.0,6.0,64.0,4.0,54.0,1.0,6.0,11.0,89.0,10.0,26.0,48.0,6.0,43.0,36.0,64.0,3.0,4.0,24.0,8.0,6.0,8.0,13.0,4.0,18.0,2.0,2.0,76.0,16.0,0.0,1.0,2.0,17.0,21.0
SAA01.03.01,11.0,11.0,14.0,8.0,17.0,11.0,36.0,18.0,15.0,10.0,68.0,0.0,118.0,4.0,214.0,19.0,8.0,7.0,15.0,14.0,40.0,4.0,71.0,20.0,49.0,5.0,86.0,0.0,21.0,54.0,160.0,11.0,6.0,53.0,22.0,19.0,41.0,51.0,36.0,1.0,45.0,18.0,19.0,9.0,21.0,1.0,29.0,1.0,1.0,63.0,36.0,6.0,6.0,2.0,28.0,0.0
SAA01.04.01,18.0,0.0,60.0,0.0,8.0,7.0,52.0,1.0,26.0,5.0,65.0,0.0,80.0,84.0,125.0,1.0,12.0,1.0,5.0,18.0,44.0,7.0,71.0,12.0,93.0,0.0,83.0,33.0,38.0,9.0,108.0,22.0,20.0,62.0,7.0,37.0,51.0,53.0,8.0,21.0,68.0,1.0,3.0,11.0,11.0,16.0,31.0,5.0,0.0,55.0,27.0,0.0,1.0,9.0,40.0,0.0
SAA01.04.02,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,9.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
SAA01.05.01,3.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,13.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,7.0,0.0,6.0,0.0,5.0,0.0,1.0,2.0,8.0,0.0,0.0,6.0,4.0,0.0,4.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0
SAA01.05.02,13.0,0.0,10.0,2.0,1.0,1.0,20.0,4.0,3.0,2.0,7.0,0.0,42.0,0.0,49.0,1.0,1.0,0.0,1.0,5.0,8.0,0.0,11.0,0.0,8.0,0.0,26.0,0.0,6.0,9.0,10.0,7.0,4.0,3.0,8.0,3.0,7.0,10.0,5.0,0.0,22.0,2.0,1.0,2.0,3.0,0.0,11.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,23.0,0.0
SAA01.06.01,2.0,1.0,4.0,0.0,4.0,2.0,2.0,7.0,5.0,2.0,20.0,0.0,13.0,18.0,24.0,1.0,0.0,1.0,0.0,4.0,5.0,4.0,20.0,1.0,4.0,3.0,7.0,10.0,6.0,10.0,20.0,0.0,2.0,17.0,5.0,3.0,8.0,8.0,6.0,0.0,4.0,1.0,1.0,0.0,5.0,1.0,4.0,1.0,0.0,9.0,3.0,0.0,2.0,1.0,3.0,1.0
SAA01.06.02,0.0,0.0,3.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0,7.0,0.0,23.0,0.0,12.0,0.0,2.0,0.0,2.0,0.0,11.0,0.0,13.0,5.0,2.0,6.0,7.0,10.0,3.0,2.0,11.0,5.0,1.0,6.0,0.0,2.0,5.0,11.0,2.0,3.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0
SAA01.06.03,2.0,0.0,6.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,23.0,0.0,43.0,2.0,2.0,0.0,7.0,1.0,4.0,4.0,7.0,1.0,14.0,0.0,17.0,1.0,1.0,14.0,18.0,4.0,1.0,4.0,3.0,0.0,15.0,8.0,7.0,0.0,8.0,7.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0
