text_id	Urarṭaya[Urarṭian]EN:Urarṭaya:{KUR}URI-a.a	adanniš[very	adi[until]PRP:adi:a-di	akī[as]PRP:akī:a-ki	alāku[go]V:ittalka:it-tal-ka	ammar[as	ana[to]PRP:ana:a-na	annûri[now]AV:annurig:an-nu-rig	anāku[I]IP:anāku:a-na-ku	ardu[slave]N:urdaka:ARAD-ka	as]REL:ammar:am-mar	atā[why?]QP:atâ:a-ta-a	bēlu[lord]N:bēlī:EN	bēlu[lord]N:bēlī:be-li₂	bēlu[lord]N:bēlīya:EN-a	bēlu[lord]N:bēlīya:EN-ia	bēlu[lord]N:bēlīya:EN-ia₂	bēlu[lord]N:bēlīya:be-li₂-ia	bēlu[lord]N:bēlīya:be-li₂-ia₂	bītu[house]N:bēt:E₂	dullu[trouble]N:dullu:dul-lu	gušūru[tree-trunk]N:gušūrī:{GIŠ}UR₃-MEŠ	ina[in]PRP:ina:ina	issurri[perhaps]AV:issurri:i-su-ri	išti[with]PRP:issi:TA@v	ištu[from]PRP:issu:TA	ištu[from]PRP:issu:TA@v	ištēn[one]NU:issēn:01-en	kī[like]PRP:kî:ki-i	libbu[interior]N:libbi:ŠA₃	libbu[interior]N:libbi:ŠA₃-bi	lā[not]MOD:lā:la	lā[not]MOD:lā:la-a	lū[may]MOD:lū:lu	lū[may]MOD:lū:lu-u	much	much]AV:adanniš:a-dan-niš	muhhu[skull]N:muhhi:UGU	muhhu[skull]N:muhhi:UGU-hi	muhhu[skull]N:muhhīya:UGU-hi-ia	mā[saying]PRP:mā:ma	mā[saying]PRP:mā:ma-a	māru[son]N:mār:DUMU	māru[son]N:mār:{LU₂}A-KIN	mīnu[what?]QP:mīnu:mi-i-nu	nišu[people]N:nišē:UN-MEŠ	pānu[front]N:pān:IGI	pānu[front]N:pān:pa-an	pānu[front]N:pānīya:pa-ni-ia	pīhātu[responsibility]N:pāhiti:{LU₂}EN.NAM	qabû[say]V:iqabbi:i-qab-bi	sisû[horse]N:sissê:{ANŠE}KUR.RA-MEŠ	u[and]CNJ:u:u₃	wadû[know]V:ūda:u₂-da	ēkallu[palace]N:ēkalli:E₂.GAL	ša[of]DET:ša:ša	ša[that]REL:ša:ša	šapāru[send]V:išpuranni:iš-pur-an-ni	šarru[king]N:šarri:LUGAL	šarru[king]N:šarru:LUGAL	šulmu[completeness]N:šulmu:DI-mu	šulmu[completeness]N:šulmu:šul-mu	šumma[if]MOD:šumma:šum₂-ma	šumma[if]MOD:šummu:šum₂-mu	šunu[they]IP:šunu:šu-nu	šū[he]IP:šû:šu-u	šū[he]IP:šû:šu-u₂	ūma[today]AV:ūmâ:u₂-ma-a	ṣābu[people]N:ṣābāni:ERIM-MEŠ	ṣābu[people]N:ṣābāni:{LU₂}ERIM-MEŠ	ṭābu[good]AJ:ṭāb:DUG₃.GA	ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-e-mu
P224485	0	2	0	0	2	1	11	4	0	0	1	0	0	1	0	0	0	6	0	0	1	0	18	0	2	0	7	2	4	2	0	6	0	14	2	1	2	8	0	5	0	23	0	0	2	0	2	2	0	0	0	0	0	0	0	6	15	0	7	1	0	2	0	0	0	0	1	3	3	0	0	0
P237089	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	3	1	1	0	0	0	0	0	0	0	0	0	1	0
P238649	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
P313416	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
P313417	0	0	0	0	0	1	7	0	0	1	1	1	8	0	0	5	0	0	0	0	0	0	17	1	0	0	2	2	1	4	1	0	2	2	0	1	0	3	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	7	9	3	5	8	1	0	0	0	0	0	0	2	1	0	0	1
P313419	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	7	0	2	0	0	0	0	0	0	0	0	0	0	1
P313420	0	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	5	2	2	0	0	0	0	0	0	0	1	0	0	1
P313421	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
P313422	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
P313425	0	1	0	0	0	0	10	0	3	1	0	1	1	5	0	4	0	0	0	0	1	0	20	0	1	1	3	3	0	2	4	4	1	3	0	0	1	2	0	1	1	5	1	0	0	1	0	0	1	0	0	0	0	1	1	10	4	0	7	5	3	0	1	0	1	0	1	2	0	0	0	0
P313427	0	0	0	0	0	0	4	0	0	1	0	1	0	4	0	0	0	0	5	0	0	0	3	0	1	0	2	2	0	1	0	2	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	7	3	3	6	4	1	0	0	3	0	0	0	0	0	0	0	0
P313434	0	0	0	0	0	0	3	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	2	2	0	2	1	1	0	0	0	0	0	1	0	0	5	0	1
P313435	0	0	0	0	0	1	4	1	0	1	1	0	1	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	4	1	1	0	0	0	0	0	0	1	0	0	0	0
P313437	0	0	0	0	0	1	3	0	2	1	1	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0
P313439	0	0	0	0	0	0	4	0	0	1	0	1	4	0	0	3	0	0	0	1	0	0	14	1	0	0	0	7	0	0	0	1	0	0	1	0	0	2	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	9	3	0	4	5	1	0	0	0	0	1	0	1	0	0	0	0
P313442	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	3	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0
P313444	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
P313445	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
