text_id	bēlu[lord]N:bēlī:be-li₂	bēlu[lord]N:bēlī:EN	bēlu[lord]N:bēlīya:EN-ia	bēlu[lord]N:bēlīya:be-li₂-ia	lā[not]MOD:lā:la	lā[not]MOD:lā:la-a	lū[may]MOD:lū:lu	lū[may]MOD:lū:lu-u	šulmu[completeness]N:šulmu:DI-mu	šulmu[completeness]N:šulmu:šul-mu
P224485	1	0	0	6	6	0	14	2	0	2
P237089	1	0	0	0	0	0	1	1	1	0
P238649	0	2	0	0	0	0	0	0	0	0
P313416	0	0	0	1	0	0	0	1	0	1
P313417	0	8	5	0	0	2	2	0	1	0
P313419	0	0	6	0	2	1	1	0	2	0
P313420	1	0	0	0	1	0	1	1	2	0
P313421	0	1	0	1	0	0	0	1	1	0
P313422	1	1	1	0	3	0	0	2	0	0
P313425	5	1	4	0	4	1	3	0	3	0
P313427	4	0	0	0	2	1	1	1	1	0
P313434	1	0	0	0	0	0	0	1	1	0
P313435	0	1	4	0	0	0	1	0	1	0
P313437	0	0	2	0	0	0	1	0	1	0
P313439	0	4	3	0	1	0	0	1	1	0
P313442	0	1	2	0	3	1	0	0	0	0
P313444	0	0	0	0	0	0	0	0	0	0
P313445	2	0	0	0	0	0	0	0	0	0
P313447	3	0	3	0	1	0	1	0	1	0
P313448	1	0	0	2	4	0	0	0	0	1
P313450	0	0	2	0	1	1	0	0	0	0
P313451	0	0	3	0	0	0	2	0	0	4
P313452	1	0	1	1	7	0	1	0	2	0
P313453	0	5	2	0	0	0	0	0	0	0
P313454	0	1	1	0	0	0	0	0	0	0
P313455	1	0	2	0	0	0	0	1	1	0
P313457	2	0	2	1	1	0	2	0	1	0
P313458	2	0	1	0	1	0	1	2	0	1
P313462	3	0	0	2	1	0	0	1	0	1
P313469	0	0	0	0	0	0	0	1	1	0
P313470	0	1	2	1	1	0	1	0	1	0
P313471	2	0	3	1	0	0	1	0	2	0
P313472	2	0	4	0	3	1	1	0	2	1
P313473	0	0	3	0	0	1	0	1	0	1
P313474	0	3	3	0	3	1	1	1	0	1
P313476	3	0	1	1	1	0	2	0	1	0
P313477	2	0	3	0	3	0	1	0	0	1
P313478	1	0	1	3	0	0	1	1	2	0
P313479	0	0	0	1	0	0	0	1	1	0
P313480	3	0	4	0	0	0	1	1	3	0
P313481	1	0	0	0	1	2	0	0	0	0
P313482	1	0	0	0	0	0	0	0	0	0
P313483	0	0	0	6	0	0	1	1	2	0
P313486	0	0	1	1	0	0	1	0	1	0
P313487	2	0	6	0	3	0	4	0	0	0
P313491	0	0	0	0	4	0	1	0	0	0
P313492	7	0	0	2	10	0	1	1	3	0
P313494	0	1	2	0	1	0	1	0	1	0
P313496	0	0	1	1	0	0	1	0	1	0
P313497	0	0	1	1	0	0	1	0	1	0
P313498	0	0	2	1	1	0	1	0	0	2
P313500	2	0	0	0	0	0	0	1	0	0
P313501	1	0	1	0	0	0	0	0	0	0
P313502	1	1	0	0	4	0	3	0	1	0
P313504	5	0	0	3	1	0	0	1	4	0
P313505	0	0	0	1	0	0	0	1	1	0
P313506	0	0	0	0	1	0	0	0	0	0
P313507	2	0	0	1	1	0	0	1	0	0
P313508	1	0	0	0	0	0	0	0	0	0
P313509	0	0	0	7	0	2	3	0	0	4
P313510	3	0	3	0	2	1	1	0	2	0
P313511	0	0	0	0	0	2	0	0	0	0
P313513	0	0	0	0	0	0	0	0	0	0
P313514	1	0	1	0	0	2	0	0	0	0
P313515	0	0	0	1	2	0	0	1	1	0
P313516	6	0	2	0	5	3	4	0	2	0
P313517	0	0	0	0	0	0	0	0	0	0
P313518	0	0	0	0	0	0	0	0	0	0
P313523	0	0	0	0	5	0	1	0	1	0
P313527	1	0	3	0	0	0	1	0	1	0
P313529	0	0	0	0	0	1	0	0	0	0
P313537	0	0	0	0	0	0	0	0	0	0
P313539	0	0	0	1	0	0	0	0	0	0
P313540	2	0	3	0	0	0	0	3	1	0
P313541	0	1	0	0	5	0	0	0	0	0
P313542	1	0	0	0	0	0	1	0	1	0
P313543	0	0	0	0	2	0	0	1	0	0
P313546	1	0	0	0	0	0	0	1	1	0
P313547	1	3	0	0	6	0	1	0	0	0
P313548	0	0	0	0	1	0	0	0	0	0
P313550	0	0	1	0	0	0	0	0	0	0
P313551	0	0	0	0	1	0	0	0	0	0
P313552	1	3	2	1	2	1	1	1	0	1
P313553	1	0	3	0	5	0	5	0	0	0
P313559	0	0	1	0	0	0	0	0	0	0
P313560	2	0	0	0	0	0	0	0	0	0
P313571	1	0	0	0	3	0	0	0	0	0
P313573	0	2	0	0	1	0	1	0	1	0
P313575	1	0	4	0	2	0	2	0	2	0
P313576	0	0	0	0	3	0	2	0	1	0
P313578	0	0	0	0	0	0	0	0	0	0
P313581	1	0	0	0	1	0	0	0	0	0
P313585	0	0	1	0	0	1	0	0	0	0
P313586	0	0	0	2	0	0	0	1	0	0
P313587	0	0	0	0	4	0	0	0	0	0
P313594	0	0	0	1	0	0	1	0	1	0
P313595	0	0	0	0	0	0	0	0	0	0
P313596	1	0	0	0	0	0	0	0	0	0
P313598	0	0	0	0	1	0	1	0	1	0
P313600	0	0	0	0	0	0	0	0	0	0
P313601	1	0	0	0	0	0	0	0	0	0
P313603	0	0	0	0	0	0	0	0	0	0
P313607	1	0	1	0	0	0	0	0	0	0
P313609	0	0	0	0	0	0	0	0	0	0
P313610	1	0	0	0	0	0	0	0	0	0
P313612	0	0	1	0	0	0	1	0	0	0
P313613	1	0	0	0	0	0	0	0	0	0
P313614	0	0	0	0	1	0	0	0	0	0
P313615	0	0	1	1	0	0	1	0	1	0
P313616	0	2	1	0	0	0	1	0	0	0
P313617	0	0	0	0	0	0	0	0	0	0
P313618	0	0	0	0	1	0	0	0	0	0
P313619	2	0	2	0	0	0	0	1	1	0
P313620	0	0	0	0	0	0	0	0	0	0
P313622	0	0	0	0	0	0	0	0	0	0
P313623	2	0	4	0	0	0	0	1	1	0
P313624	2	0	0	0	1	0	0	0	0	0
P313625	0	0	0	0	0	0	0	0	0	0
P313626	3	3	1	1	0	0	1	0	0	1
P313627	0	1	0	0	1	0	0	0	0	0
P313628	0	0	1	0	0	2	0	0	0	0
P313629	1	0	0	0	1	0	0	0	1	0
P313630	1	0	0	3	0	0	1	0	3	0
P313632	0	0	0	0	0	0	0	0	0	0
P313635	0	0	0	0	2	0	0	0	0	0
P313637	0	0	0	0	0	0	0	0	0	0
P313639	0	0	0	0	0	0	0	0	0	0
P313640	0	0	0	1	0	0	0	1	0	1
P313643	2	0	0	0	0	0	0	0	0	0
P313644	0	0	0	0	5	0	0	0	0	0
P313646	1	1	1	1	1	0	0	0	0	0
P313647	0	0	0	0	0	0	0	1	2	0
P313648	1	0	0	0	3	0	0	0	0	0
P313652	0	0	0	1	1	0	0	0	0	0
P313653	0	1	3	0	2	0	2	0	3	0
P313654	0	0	0	0	0	0	0	0	0	0
P313655	1	0	0	0	0	0	0	0	0	0
P313657	0	0	0	0	1	0	1	0	0	0
P313659	0	0	0	2	0	0	0	0	0	0
P313660	0	0	0	0	0	0	0	0	0	0
P313665	0	0	0	0	1	1	0	0	0	0
P313666	2	0	0	0	1	0	0	0	0	0
P313667	0	0	0	0	1	0	0	0	0	0
P313672	0	0	0	0	0	0	0	0	0	0
P313673	1	0	2	1	1	0	2	0	1	0
P313675	1	0	0	2	0	0	1	0	1	0
P313676	0	0	0	0	0	0	0	0	0	0
P313677	0	0	4	0	0	0	1	0	1	0
P313679	0	0	4	0	0	0	1	0	1	0
P313680	1	0	0	0	0	0	0	0	0	0
P313683	1	1	0	0	0	0	0	0	0	0
P313684	1	0	1	0	1	0	1	0	1	0
P313686	0	0	0	0	0	0	0	0	0	0
P313687	0	0	0	0	1	0	0	0	0	0
P313692	1	0	0	0	0	1	0	0	0	0
P313695	1	0	0	0	0	0	0	0	0	0
P313698	0	0	1	1	0	0	1	0	1	0
P313699	0	0	0	0	0	0	0	0	0	0
P313700	3	0	0	2	1	0	2	0	3	0
P313701	0	0	0	0	0	0	1	0	0	0
P313702	1	0	0	0	0	0	0	0	0	0
P313706	0	0	1	1	1	0	0	1	1	0
P313710	0	0	0	0	0	0	0	0	0	0
P313711	0	0	0	2	1	1	0	1	0	1
P313714	0	0	0	0	0	0	0	0	0	0
P313716	1	0	0	0	0	0	0	0	0	0
P313718	0	0	0	0	0	0	0	0	0	0
P313719	0	0	1	0	0	0	0	0	0	0
P313720	0	0	0	0	2	0	0	0	0	0
P313721	1	0	0	1	1	0	2	0	0	0
P313722	2	0	4	0	1	0	2	0	4	0
P313723	1	0	0	2	1	0	1	0	0	0
P313725	0	0	2	1	2	0	1	0	1	0
P313726	0	0	0	0	2	0	0	0	0	0
P313728	1	0	0	2	0	0	1	0	1	0
P313729	0	0	0	0	0	0	0	0	0	0
P313730	1	1	0	0	0	0	0	0	0	0
P313733	0	0	1	1	0	0	0	0	0	0
P313735	1	0	0	0	0	1	0	0	0	0
P313737	1	0	1	0	0	0	0	0	0	0
P313738	1	0	1	0	4	0	0	0	0	0
P313739	1	1	1	1	0	0	1	0	1	0
P313742	1	0	2	0	1	0	0	1	1	0
P313743	0	0	3	0	0	0	1	0	2	0
P313747	2	0	2	0	2	0	1	0	0	0
P313748	0	0	0	0	0	0	0	0	0	0
P313750	1	0	0	0	0	0	1	1	3	0
P313753	0	0	0	0	2	0	0	0	0	0
P313754	0	0	1	1	0	0	1	0	1	0
P313755	1	0	0	0	0	1	0	0	0	0
P313756	0	0	0	0	0	0	1	0	0	0
P313757	0	0	0	0	2	0	0	1	0	0
P313758	0	0	0	0	0	0	0	0	0	0
P313759	2	0	1	0	0	0	0	0	0	0
P313761	1	0	2	0	0	0	1	0	1	0
P313762	0	0	0	0	0	0	0	0	0	0
P313766	0	0	0	0	0	0	0	0	0	0
P313769	0	0	0	0	1	0	0	0	0	0
P313770	0	0	0	0	0	0	0	0	0	0
P313772	0	0	0	0	0	0	0	0	0	0
P313773	0	0	0	0	2	0	0	0	0	0
P313774	1	0	0	0	1	0	0	0	0	0
P313776	0	0	0	0	1	0	3	0	0	0
P313777	0	0	0	0	1	0	0	0	0	0
P313778	1	0	0	0	1	0	0	0	0	0
P313779	1	0	0	0	2	0	0	0	0	0
P313781	0	0	1	0	1	0	0	0	0	0
P313782	0	0	0	0	0	0	0	0	0	0
P313783	1	0	0	0	0	0	0	0	0	0
P313785	2	0	0	0	0	0	0	0	0	0
P313788	1	0	0	2	0	0	0	1	1	0
P313796	1	0	0	0	0	0	0	0	0	0
P313798	0	0	0	0	0	0	0	0	0	0
