dossier_nocertain,atā[why?]QP:atâ:a-ta-a,kī[like]PRP:kî:ki,kī[like]PRP:kî:ki-i,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,mīnu[what?]QP:mīni:mi-i-ni,mīnu[what?]QP:mīni:mi-ni,mīnu[what?]QP:mīnu:mi-i-nu,mīnu[what?]QP:mīnu:mi-nu,mīnu[what?]QP:mīnu:mi₃-i-nu,mīnu[what?]QP:mīnu:mi₃-nu,šū[he]IP:šû:šu-u,šū[he]IP:šû:šu-u₂,šū[he]IP:šû:šu₂-u,šū[he]IP:šû:šu₂-u₂,ūma[today]AV:ūmâ:u₂-ma,ūma[today]AV:ūmâ:u₂-ma-a,ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-e-mu,ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-mu
SAA01.01.01,3,0,20,42,1,31,3,4,62,3,0,2,0,1,0,0,6,0,0,0,16,3,0
SAA01.02.01,1,1,0,13,4,18,2,2,76,0,0,2,1,0,0,1,3,0,0,0,4,11,2
SAA01.03.01,4,0,24,21,1,29,1,1,63,0,1,2,3,0,0,0,0,9,0,0,7,4,0
SAA01.04.01,7,0,7,11,16,32,7,0,61,0,0,0,0,0,1,2,0,1,0,0,10,4,1
SAA01.05.01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.05.02,2,0,1,3,0,11,0,0,12,0,0,0,1,0,0,1,1,0,0,0,3,0,0
SAA01.06.01,4,0,0,5,1,4,1,0,9,0,0,0,0,0,0,1,1,0,0,0,1,0,0
SAA01.06.02,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0
SAA01.06.03,0,0,3,5,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SAA01.07.01,0,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA01.07.02,0,0,2,0,1,2,1,0,7,0,0,0,0,0,1,0,1,0,0,0,2,0,0
SAA01.07.03,0,0,0,9,0,2,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0
SAA01.07.04,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAA01.07.05,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA01.07.07,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.07.08,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0
SAA01.07.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.07.10,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.07.11,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.07.12,1,0,1,1,0,2,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SAA01.07.13,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA01.07.14,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.07.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.07.16,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA01.07.17,0,0,0,4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SAA01.07.18,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.08.01,1,0,0,2,2,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAA01.08.02,0,0,0,3,5,5,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0
SAA01.08.03,2,0,1,11,8,7,0,1,13,0,0,0,0,0,0,0,2,0,0,0,4,0,1
SAA01.09.01,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0
SAA01.09.02,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.09.04,2,0,0,10,1,11,3,0,15,0,0,3,0,0,1,0,1,0,0,1,2,0,0
SAA01.10.01,0,0,2,0,0,4,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SAA01.10.02,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.10.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.10.04,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.10.05,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.10.06,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.11.01,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAA01.11.02,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA01.11.03,0,0,1,5,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SAA01.12.01,0,0,0,4,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA01.13.01,1,0,1,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,1,0
SAA01.13.02,4,0,5,21,4,10,1,1,36,0,0,0,0,0,0,0,4,0,0,0,6,0,0
SAA01.14.01,1,0,4,3,3,3,1,0,10,1,0,3,0,0,0,1,2,0,0,0,3,0,0
SAA01.14.02,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAA01.14.03,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA01.14.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA05.01.01,3,2,8,9,2,14,7,1,32,0,0,1,1,0,1,2,0,0,0,0,3,0,3
SAA05.02.01,1,0,3,0,2,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
