senderloc,atā[why?]QP:atâ:a-ta-a,kī[like]PRP:kî:ki,kī[like]PRP:kî:ki-i,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,mīnu[what?]QP:mīni:mi-i-ni,mīnu[what?]QP:mīni:mi-ni,mīnu[what?]QP:mīnu:mi-i-nu,mīnu[what?]QP:mīnu:mi-nu,mīnu[what?]QP:mīnu:mi₃-i-nu,mīnu[what?]QP:mīnu:mi₃-nu,šū[he]IP:šû:šu-u,šū[he]IP:šû:šu-u₂,šū[he]IP:šû:šu₂-u,šū[he]IP:šû:šu₂-u₂,ūma[today]AV:ūmâ:u₂-ma,ūma[today]AV:ūmâ:u₂-ma-a,ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-e-mu,ṭēmu[(fore)thought]N:ṭēmu:ṭe₃-mu
Allabria,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amidi,3,2,8,9,2,14,7,1,32,0,0,1,1,0,1,2,0,0,0,0,3,0,3
Appina,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Arbela,0,0,2,0,1,2,1,0,7,0,0,0,0,0,1,0,1,0,0,0,2,0,0
Arrapha,1,1,2,15,1,10,13,2,29,0,0,2,0,0,0,2,0,2,0,0,4,3,0
Arzuhina,1,0,5,4,0,5,2,2,9,0,0,0,0,3,1,0,1,0,0,0,3,1,0
Ashur,8,0,8,11,16,32,7,0,64,0,0,0,0,0,1,2,0,1,0,0,10,4,1
Assyria,3,0,11,40,4,24,9,1,84,1,0,7,4,0,1,5,2,1,1,0,14,1,2
Babylon,2,0,3,18,1,13,9,0,38,0,0,0,1,0,2,3,3,0,0,0,6,1,1
Bit-Sangibuti,0,0,2,2,0,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Bit-Zamani,0,0,1,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
