	0
dul	0.0
dul₆	0.0
gur	0.0
gur₂	0.0
ia	0.0
ia₂	0.0
li	0.0
li₂	0.0
mi	0.0
mi₃	0.0
tu	0.0
tu₂	0.0
u	0.0
u₂	0.0
u₃	0.0
ša	0.0
ša₂	0.0
šu	0.0
šu₂	0.0
šum	0.0
šum₂	0.0
ṭi	0.0
ṭi₂	0.0
ANŠE:..	0.0
ANŠE:.d.	0.0
ARAD:..	0.0
ARAD:.p.	0.0
BA:..	0.0
BA:.t.	0.0
BU:..	0.0
BU:.p.	0.0
BU:.t.	0.0
DA:..	0.0
DA:.d.	0.0
DI:..	0.0
DI:.d.	0.0
E₂:..	0.0
E₂:.d.	0.0
IG:..	0.0
IG:.d.	0.0
IŠ:..	0.0
IŠ:.d.	0.0
IŠ:.t.	0.0
KAL:..	0.0
KAL:.d.	0.0
KIN:..	0.0
KIN:.t.	0.0
LA:..	0.0
LA:.p.	0.0
LI:..	0.0
LI:.d.	0.0
LIŠ:..	0.0
LIŠ:.d.	0.0
LUGAL:..	0.0
LUGAL:.d.	0.0
LUGAL:.m.	0.0
LUGAL:.p.	0.0
LUGAL:.t.	0.0
LUGAL:.y.	0.0
LU₂:v..	0.0
LU₂:v.y.	0.0
LU₂:..	0.0
MA:..	0.0
MA:.p.	0.0
MU:..	0.0
MU:.p.	0.0
NA:..	0.0
NA:.t.	0.0
NA:.d.	0.0
NA:.dt.	0.0
NA:.td.	0.0
NA:.y.	0.0
NAM:..	0.0
NAM:.p.	0.0
NI:..	0.0
NI:.d.	0.0
NUN:..	0.0
NUN:.dm.	0.0
NUN:.m.	0.0
SILA₃:..	0.0
SILA₃:.d.	0.0
SU:..	0.0
SU:.t.	0.0
SUM:..	0.0
SUM:.m.	0.0
SUM:.p.	0.0
TA:..	0.0
TA:.m.	0.0
TA:.p.	0.0
TA:..v	0.0
TA:.dm.v	0.0
TA:.m.v	0.0
TA:.mp.v	0.0
TA:.p.v	0.0
TI:..	0.0
TI:.t.	0.0
URI:..	0.0
URI:.d.	0.0
URI:.dd.	0.0
URI:.dm.	0.0
URU:..	0.0
URU:.d.	0.0
U₂:..	0.0
U₂:.m.	0.0
ZU:..	0.0
ZU:.t.	0.0
|EZEN×BAD|:..	0.0
|EZEN×BAD|:.p.	0.0
|GA₂×NUN&NUN|:..	0.0
|GA₂×NUN&NUN|:.m.	0.0
|ME.U.U.U|:..	0.0
|ME.U.U.U|:.m.	0.0
|ME.U.U.U|:.t.	0.0
|PIRIG×UD|:..	0.0
|PIRIG×UD|:.d.	0.0
|PIRIG×UD|:.td.	0.0
|PIRIG×UD|:.tdp.	0.0
|PIRIG×UD|:.dp.	0.0
|U.KA|:..	0.0
|U.KA|:.d.	0.0
|UD×(U.U.U)|:..	0.0
|UD×(U.U.U)|:.m.	0.0
ŠA:..	0.0
ŠA:.d.	0.0
ŠA:.dd.	0.0
ŠA:.dm.	0.0
ŠA:.dt.	0.0
ŠA:.dtm.	0.0
ŠA:.dy.	0.0
ŠA:.dym.	0.0
ŠA:.m.	0.0
ŠA:.p.	0.0
ŠA:.t.	0.0
ŠA:.td.	0.0
ŠA:.tm.	0.0
ŠA:.ty.	0.0
ŠA:.tym.	0.0
ŠA:.y.	0.0
ŠA:.yd.	0.0
ŠA:.ydm.	0.0
ŠA:.ydp.	0.0
ŠA:.ym.	0.0
ŠA₃:..	0.0
ŠA₃:.p.	0.0
ŠIM:..	0.0
ŠIM:.t.	0.0
